style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
17,2026-05-31,1928,JP3420600003,10092601W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,-0.0015652827631440892,-0.0012729167297982106,,-0.0018770128049566833,,,-0.0011718915925126383,-0.0010751820921596534,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,,,,-0.005986148945537531,-0.003885745806752432,0.0018380706305799886,,,0.0021296876056239294,,-0.0013105769880762642,,-0.0008754447074501527,0.002060348939394313,,,,,,,,,,,,-0.0013672068579314114,,-0.00037741134741815194
18,2026-05-31,1928,KYG7800X1079,29342501W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,-0.0015652827631440892,-0.0012729167297982106,,0.005468827431725646,,,,0.0035156747775379146,0.003257169279189539,,0.003305783746043114,,0.0025312858398272987,-0.0004712500233721035,0.004342892372252718,,,,0.005986148945537531,0.003885745806752432,,,,,-0.0011476036838595266,-0.0013105769880762642,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,,,,,,,,0.0020413595482478217,0.00023792001017516396
19,2026-05-31,1997,KYG9593A1040,32596601W,,,,,,,,,,-0.0012729167297982106,,,0.0022038558306954094,,,,,,,-0.002545833459596421,-0.0025169035339191893,,0.004342892372252718,,,-0.002171446186126359,,,-0.0009286688091609587,,,0.0021296876056239294,,,,,,,-0.0007650691225730178,,,,0.003407500168998287,-0.0011596204763606737,,,,,0.002684697102847135,-0.002060348939394313,0.00011513717650923491
20,2026-05-31,1CNHI,NL0010545661,29578601W,,,,,,,,,,,0.001276585077722701,,,,-0.0011718915925126383,,,,,,,-0.0004712500233721035,,,,,,,-0.0009286688091609587,,,0.0021296876056239294,0.0022600766427029453,-0.0013105769880762642,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,0.002953166813131849,,,,,,,,,,,0.0020413595482478217,8.639552453735744e-05
21,2026-05-31,2,HK0002007356,10066501W,,,-0.0006641304677208055,,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,,,0.001276585077722701,,,,,,,,,,,-0.0004712500233721035,,0.0013302553212305624,,-0.002171446186126359,,,-0.0009286688091609587,,,,,-0.0013105769880762642,,-0.0008754447074501527,,-0.000715630083957637,,,,,,-0.0011596204763606737,,,0.008859500439395545,,,-0.002060348939394313,6.464766695046964e-05
22,2026-05-31,2388,HK2388011192,03164801W,,0.002295207367719053,,,-0.0010374122294374176,,,-0.001121455751822221,,,0.001276585077722701,,-0.0022148751098488863,,-0.0011718915925126383,0.0035156747775379146,,,0.003305783746043114,,,-0.0004712500233721035,0.004342892372252718,,,0.006328214599568247,,,-0.0009286688091609587,,,,,,,,-0.0006986987728229925,,,,,,,,,,,,,,0.0001868795845639735
23,2026-05-31,2502,JP3116000005,10295001W,,,-0.0006641304677208055,-0.001069987975772409,,,,,,,,,,0.003660950594791548,,,-0.0016590824792875555,,0.003305783746043114,-0.002545833459596421,-0.0025169035339191893,0.0018534519747689425,0.004342892372252718,0.0013302553212305624,,,,,,,,0.0021296876056239294,,,,-0.0008754447074501527,,0.002109404866522749,-0.0007650691225730178,,,0.004429750219697773,0.003407500168998287,0.0022600766427029453,0.004429750219697773,0.005537187774622216,0.008859500439395545,0.005679166948330478,0.002684697102847135,-0.002060348939394313,0.0014209449152381246
24,2026-05-31,2503,JP3258000003,01872901W,,,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,,,,,,,-0.0022148751098488863,0.003660950594791548,0.0022600766427029453,,,,-0.0016653196314653281,,,0.0018534519747689425,-0.0014914983904706306,-0.003955134124730154,,,0.005986148945537531,0.003885745806752432,,,0.002295207367719053,0.0021296876056239294,0.0022600766427029453,,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,0.002953166813131849,,,0.004429750219697773,0.003407500168998287,0.0022600766427029453,0.004429750219697773,0.005537187774622216,,,,,0.0010196106069986866
25,2026-05-31,2587,JP3336560002,31564801W,,,-0.0006641304677208055,-0.001069987975772409,-0.0010374122294374176,,,,,,,,-0.0022148751098488863,0.003660950594791548,-0.0011718915925126383,,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,,,,,-0.003885745806752432,,-0.0013342621143667991,,-0.002150364184319307,-0.0011476036838595266,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,0.003407500168998287,,0.004429750219697773,0.005537187774622216,0.008859500439395545,,,-0.002060348939394313,0.00048574362232994367
26,2026-05-31,27,HK0027032686,10711401W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,,,-0.0007730803175737824,-0.001121455751822221,-0.0015652827631440892,-0.0012729167297982106,,0.005468827431725646,,-0.0036914585164148105,,0.0035156747775379146,,,0.003305783746043114,-0.002545833459596421,-0.0025169035339191893,0.0018534519747689425,-0.0014914983904706306,,,,0.005986148945537531,0.003885745806752432,,0.002636756083153436,,0.0021296876056239294,,0.003851956712780672,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,-0.0007650691225730178,,,,,,,,,,,-0.002060348939394313,-0.0001961598864223241
27,2026-05-31,2801,JP3240400006,10193201W,,,,,-0.0010374122294374176,,,,,,,,,-0.0036914585164148105,-0.0011718915925126383,,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,-0.003955134124730154,,,,,,-0.0013342621143667991,-0.0023071615727592565,,-0.0011476036838595266,,,,,,-0.0007650691225730178,,,-0.002237247585705946,-0.0011565927466573819,-0.0011596204763606737,-0.0015016102439653466,-0.0028214969552215114,,-0.0028764611816219305,-0.0013672068579314114,-0.002060348939394313,-0.0010942650576456138
28,2026-05-31,2802,JP3119600009,10025301W,,,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,,,,,,,,0.003660950594791548,0.0022600766427029453,,,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,-0.003955134124730154,,,,,,0.002636756083153436,,,,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,-0.002237247585705946,-0.0011565927466573819,-0.0011596204763606737,-0.0015016102439653466,-0.0028214969552215114,-0.004520153285405891,-0.0028764611816219305,,,-0.000285146363490521
29,2026-05-31,285A,JP3236330001,33964401W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,0.0022833764019060685,-0.001121455751822221,-0.0015652827631440892,0.004867857384283267,,-0.0018770128049566833,,,0.0022600766427029453,,,-0.0023192409527213473,,,0.0025312858398272987,,,,,,,,,,,,,,,,,0.002109404866522749,,,,,,0.0022600766427029453,,,,,,0.0020413595482478217,0.0003833983352774804
30,2026-05-31,288,KYG960071028,31747801W,,,0.00196006646889282,,-0.0010374122294374176,,,,,,,,,0.003660950594791548,0.0022600766427029453,,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,0.0013302553212305624,,,0.005986148945537531,-0.003885745806752432,0.0018380706305799886,,-0.0023071615727592565,,-0.0011476036838595266,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,0.004429750219697773,0.003407500168998287,0.0022600766427029453,0.004429750219697773,0.005537187774622216,0.008859500439395545,0.005679166948330478,-0.0013672068579314114,-0.002060348939394313,0.0009319938811135274
31,2026-05-31,2914,JP3726800000,22352801W,,,-0.0006641304677208055,-0.001069987975772409,0.0020319955136228317,,,,,,,,-0.0022148751098488863,0.003660950594791548,,,-0.0016590824792875555,,-0.0016653196314653281,-0.002545833459596421,-0.0025169035339191893,0.0018534519747689425,-0.0014914983904706306,,,,,-0.003885745806752432,,-0.0013342621143667991,-0.0023071615727592565,,-0.0011476036838595266,,,0.0025904972045016216,0.002060348939394313,0.002109404866522749,-0.0007650691225730178,,,,-0.0011565927466573819,0.0022600766427029453,-0.0015016102439653466,-0.0028214969552215114,,-0.0028764611816219305,-0.0013672068579314114,,-6.137548932345475e-05
32,2026-05-31,3,HK0003000038,01852602W,,,-0.0006641304677208055,,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,,,0.001276585077722701,,,,,,,,,,,-0.0004712500233721035,,0.0013302553212305624,,-0.002171446186126359,,,-0.0009286688091609587,,0.002295207367719053,,,,,-0.0008754447074501527,,-0.000715630083957637,,,,-0.002237247585705946,-0.0011565927466573819,,-0.0015016102439653466,-0.0028214969552215114,-0.004520153285405891,,,,-0.0004065449242621473
33,2026-05-31,3003,JP3360800001,20801901W,,,,,,,,,,-0.0012729167297982106,,,,0.003660950594791548,,,,,,0.0025312858398272987,0.0025312858398272987,,-0.0014914983904706306,,,,,-0.003885745806752432,0.0018380706305799886,-0.0013342621143667991,-0.0023071615727592565,-0.002150364184319307,,,,,,,,,,,0.003407500168998287,,,,,,-0.0013672068579314114,0.0020413595482478217,0.000404929089093467
34,2026-05-31,3382,JP3422950000,27396101W,,,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,,,,,,,,,-0.0011718915925126383,,-0.0016590824792875555,,0.003305783746043114,,,-0.0004712500233721035,,,,,,,0.0018380706305799886,0.002636756083153436,,0.0021296876056239294,0.0022600766427029453,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,0.002953166813131849,,,-0.002237247585705946,,,-0.0015016102439653466,0.005537187774622216,0.008859500439395545,,,,0.0006160129838383635
35,2026-05-31,3402,JP3621000003,10072401W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,,,-0.0007730803175737824,-0.001121455751822221,,-0.0012729167297982106,,-0.0018770128049566833,-0.0022148751098488863,0.003660950594791548,,-0.0010751820921596534,,,-0.0016653196314653281,,,-0.0004712500233721035,,,,,,,0.0018380706305799886,,,0.0021296876056239294,,0.003851956712780672,,,0.002060348939394313,0.002109404866522749,-0.0007650691225730178,,,,,,,0.005537187774622216,,,,,0.00042411337643012107
36,2026-05-31,3407,JP3111200006,10025801W,,,,,,,0.0022833764019060685,,,-0.0012729167297982106,,-0.0018770128049566833,,-0.0036914585164148105,,-0.0010751820921596534,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,,,,,,,0.0018380706305799886,,,,-0.0011476036838595266,0.003851956712780672,,,0.002060348939394313,0.002109404866522749,-0.0007650691225730178,,,,0.003407500168998287,,,0.005537187774622216,0.008859500439395545,,,,0.0002665526122487542
37,2026-05-31,3659,JP3758190007,31130501W,,,,,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,,-0.0012729167297982106,,,,-0.0036914585164148105,,,,,-0.0016653196314653281,,,-0.0004712500233721035,,,,,,,,,,,,,,,-0.0006986987728229925,-0.000715630083957637,,,,,,,,,,,0.002684697102847135,,-0.00038400892107227496
38,2026-05-31,388,HK0388045442,24063701W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,-0.0010374122294374176,,,0.0032812964590353873,,,-0.003786111298886986,,,,,-0.0010751820921596534,0.003257169279189539,,,,,-0.0004712500233721035,-0.0014914983904706306,,,0.006328214599568247,,,-0.0009286688091609587,,,,,,,,-0.0006986987728229925,-0.000715630083957637,,,,-0.002237247585705946,-0.0011565927466573819,-0.0011596204763606737,-0.0015016102439653466,-0.0028214969552215114,,-0.0028764611816219305,,,-0.0001360729947585344
39,2026-05-31,4062,JP3148800000,10262001W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,,,0.0022833764019060685,-0.001121455751822221,-0.0015652827631440892,-0.0012729167297982106,,-0.0018770128049566833,,-0.0036914585164148105,-0.0011718915925126383,,,-0.0023192409527213473,,-0.002545833459596421,,-0.0004712500233721035,,,,,,,-0.0009286688091609587,-0.0013342621143667991,-0.0023071615727592565,-0.002150364184319307,-0.0011476036838595266,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,,,,,,,,,-0.0006302774758031176
40,2026-05-31,4063,JP3371200001,10069701W,,-0.0007730803175737824,,,-0.0010374122294374176,,-0.0007730803175737824,-0.001121455751822221,,-0.0012729167297982106,,,,,-0.0011718915925126383,-0.0010751820921596534,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,,,,,,,,,,,,-0.0013105769880762642,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,-0.0011565927466573819,,,-0.0028214969552215114,,,,,-0.00039817894050698876
41,2026-05-31,4091,JP3711600001,10104401W,,-0.0007730803175737824,-0.0006641304677208055,,,,-0.0007730803175737824,,,-0.0012729167297982106,,-0.0018770128049566833,,,,-0.0010751820921596534,-0.0016590824792875555,,,,,-0.0004712500233721035,,,,,,,,,,,-0.0011476036838595266,-0.0013105769880762642,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,,,,,,,,,-0.00022221135158887153
42,2026-05-31,4151,JP3256000005,10051601W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,-0.0010374122294374176,,,,-0.0015652827631440892,,,,-0.0022148751098488863,-0.0036914585164148105,,-0.0010751820921596534,,-0.0023192409527213473,-0.0016653196314653281,,-0.0025169035339191893,-0.0004712500233721035,-0.0014914983904706306,-0.003955134124730154,,,0.005986148945537531,,-0.0009286688091609587,,,0.0021296876056239294,,,,-0.0008754447074501527,,-0.000715630083957637,,,,,0.003407500168998287,-0.0011596204763606737,,,,,,-0.002060348939394313,-0.000651202841892998
43,2026-05-31,4188,JP3897700005,01904502W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,0.0020319955136228317,,-0.0007730803175737824,,,-0.0012729167297982106,,-0.0018770128049566833,,,,-0.0010751820921596534,,,,,,-0.0004712500233721035,,,,,,0.003885745806752432,,,,0.0021296876056239294,0.0022600766427029453,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,-0.0007650691225730178,,,,0.003407500168998287,0.0022600766427029453,,0.005537187774622216,0.008859500439395545,,0.002684697102847135,,0.0005736361665667338
44,2026-05-31,4307,JP3762800005,24960401W,,-0.0007730803175737824,-0.0006641304677208055,-0.001069987975772409,,,-0.0007730803175737824,-0.001121455751822221,-0.0015652827631440892,-0.0012729167297982106,,-0.0018770128049566833,,0.003660950594791548,,,,-0.0023192409527213473,,,,-0.0004712500233721035,,,,,,,,-0.0013342621143667991,-0.0023071615727592565,-0.002150364184319307,-0.0011476036838595266,,,-0.0008754447074501527,,,-0.0007650691225730178,,,,,,,,,,,,4.577909005072941e-05
45,2026-05-31,4452,JP3205800000,01871501W,,,-0.0006641304677208055,-0.001069987975772409,,,,,,,,,,-0.0036914585164148105,-0.0011718915925126383,,-0.0016590824792875555,,-0.0016653196314653281,,,-0.0004712500233721035,-0.0014914983904706306,0.0013302553212305624,,,,,,,,,,,,,,,-0.0007650691225730178,,,-0.002237247585705946,-0.0011565927466573819,,-0.0015016102439653466,,,-0.0028764611816219305,,-0.002060348939394313,-0.0007082826393914799
46,2026-05-31,4502,JP3463000004,10071801W,,,,0.002109404866522749,-0.0010374122294374176,,,,-0.0015652827631440892,,,,,-0.0036914585164148105,-0.0011718915925126383,-0.0010751820921596534,-0.0016590824792875555,-0.0023192409527213473,,-0.002545833459596421,,-0.0004712500233721035,,0.0013302553212305624,,,,,-0.0009286688091609587,,,,,,,-0.0008754447074501527,-0.0006986987728229925,-0.000715630083957637,,,,-0.002237247585705946,,-0.0011596204763606737,-0.0015016102439653466,,,,0.002684697102847135,,-0.0004527341823874245
47,2026-05-31,4503,JP3942400007,10066801W,,0.002295207367719053,0.00196006646889282,0.002109404866522749,0.0020319955136228317,,,,-0.0015652827631440892,,,,-0.0022148751098488863,0.003660950594791548,,0.0035156747775379146,-0.0016590824792875555,-0.0023192409527213473,-0.0016653196314653281,,,-0.0004712500233721035,,0.0013302553212305624,,,-0.005986148945537531,-0.003885745806752432,0.0018380706305799886,,,,,,,-0.0008754447074501527,,0.002109404866522749,,,,-0.002237247585705946,-0.0011565927466573819,0.0022600766427029453,-0.0015016102439653466,,,,-0.0013672068579314114,,0.00027508344436643516
