style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Size,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
8,2026-07-31,16,HK0016000132,01942101W,-0.00031619307294317216,,,,,,,,,,,,,,,,0.0010866353492694932,,0.0010332737919392947,,-0.0007926483883369932,,-0.0023145332939440203,,,,,0.0013378805167306475,,,,,0.0009524828370140001,-0.0013301915482436897,,0.0031277476945189464,0.0010969352104000098,,,0.0009485792188295165,0.001780410226110785,,,,,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,-0.0010666052045824978,0.000179834016301769
9,2026-07-31,1605,JP3294460005,27119601W,,,,-0.00035718106388025003,,-0.00043343320111311243,,-0.000580083532316797,0.0005577188660106073,,-0.0013859480802060002,,,0.0006888491946261965,,,-0.0005497703786090309,,0.0010332737919392947,,,,,-0.001315075735195466,-0.0004125727796691658,,,-0.0003434025658670653,,,,,,,,,,,,,,,,,,,,0.0010917609877094435,,-0.0010666052045824978,-8.426606530186433e-05
10,2026-07-31,1801,JP3443600006,10094901W,-0.00031619307294317216,0.0010196181911647667,,0.0010520605881563728,-0.0005445960691632988,0.001278747676212166,,,0.0005577188660106073,,,,-0.0007301366857867572,0.0006888491946261965,,,-0.0005497703786090309,,,,,,,,0.0016185547510098044,,,,,0.0011630820572583016,0.0010666052045824978,,,,0.0011630820572583016,,0.0010969352104000098,,,,,,0.0013535282420725264,0.0015430221959626803,0.0013456588918279188,,0.00062051830936837,-0.0002778551373282137,,,0.0002373374717170893
11,2026-07-31,1802,JP3190000004,10091901W,-0.00031619307294317216,0.0010196181911647667,,0.0010520605881563728,-0.0005445960691632988,-0.00043343320111311243,,,0.0005577188660106073,,,,-0.0007301366857867572,0.0006888491946261965,,,-0.0005497703786090309,,,,,,,,0.0016185547510098044,,,,,0.0011630820572583016,0.0010666052045824978,,0.0009524828370140001,,,,0.0010969352104000098,,,,,-0.0006074890535286143,0.0013535282420725264,0.0015430221959626803,0.0013456588918279188,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,,,0.00016617935323595359
12,2026-07-31,1803,JP3358800005,10098201W,0.0009295314433510121,0.0010196181911647667,,0.0010520605881563728,-0.0005445960691632988,0.001278747676212166,,,0.0005577188660106073,,,,,0.0006888491946261965,,,0.0010866353492694932,,,,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,0.0011630820572583016,0.0010666052045824978,,,,0.0011630820572583016,,0.0010969352104000098,,,,,-0.0006074890535286143,0.0013535282420725264,,0.0013456588918279188,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,,0.00030784940845764923
13,2026-07-31,1812,JP3210200006,01870901W,-0.00031619307294317216,0.0010196181911647667,,0.0010520605881563728,,,,,0.0005577188660106073,,,,-0.0007301366857867572,0.0006888491946261965,,,-0.0005497703786090309,,,,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,,,,0.0009524828370140001,,-0.00039700399553070675,,-0.0011127563913192406,,,,,-0.0006074890535286143,0.0013535282420725264,,0.0013456588918279188,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,,,2.328493644811531e-05
14,2026-07-31,1878,JP3486800000,20154301W,0.0009295314433510121,,,,,,,,,,,,,,,,-0.0005497703786090309,,0.0010332737919392947,,,0.001315075735195466,,0.001315075735195466,,,,-0.0003434025658670653,,,,,0.0009524828370140001,,,-0.0031277476945189464,,,,-0.0009524828370140001,0.001780410226110785,,0.0013535282420725264,,0.0013456588918279188,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,,0.0001887704779176668
15,2026-07-31,19,HK0019000162,10056201W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,0.0010617125201578075,-0.00043343320111311243,,,0.0005577188660106073,,,,-0.0007301366857867572,,,,,,,,,-0.001315075735195466,,-0.001315075735195466,-0.0004125727796691658,,,0.0013378805167306475,,-0.00039295981221460445,-0.000362211783089831,,0.0009524828370140001,,0.0011630820572583016,,0.0010969352104000098,,,0.0009485792188295165,,,0.0013535282420725264,-0.0007766890248134296,,,0.00062051830936837,-0.0002778551373282137,,-0.0010666052045824978,1.275942189402174e-05
16,2026-07-31,1925,JP3505000004,01783001W,-0.00031619307294317216,,,,,,,,,,,,,,,,-0.0005497703786090309,,0.0010332737919392947,,-0.0007926483883369932,0.001315075735195466,,0.001315075735195466,,,,,,,,,0.0009524828370140001,-0.0013301915482436897,,-0.0031277476945189464,-0.0011127563913192406,,,0.0009485792188295165,0.001780410226110785,,0.0013535282420725264,,0.0013456588918279188,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,,,3.326486073167032e-05
17,2026-07-31,1928,JP3420600003,10092601W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,-0.0005445960691632988,-0.00043343320111311243,,0.001701862716135309,,-0.0008092773755049022,,,-0.0007301366857867572,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,-0.0007099795380196381,,-0.0011689562090626366,-0.0007926483883369932,,-0.0023145332939440203,,-0.0004125727796691658,,,,,,,-0.0006747910477970904,,,0.0011630820572583016,,0.0010969352104000098,,,,,,0.0013535282420725264,,,-0.00037032532703104327,,-0.0002778551373282137,,,-8.056574389445618e-05
18,2026-07-31,1928,KYG7800X1079,29342501W,-0.00031619307294317216,0.0010196181911647667,,0.0010520605881563728,-0.0005445960691632988,-0.00043343320111311243,,-0.000580083532316797,,-0.0008092773755049022,,,,,0.001701862716135309,-0.00047820935825289675,0.0010866353492694932,0.002183521975418887,,-0.0011689562090626366,0.0015638738472594732,,0.002269150288180412,0.001315075735195466,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,0.002630151470390932,,,-0.00039700399553070675,0.0031277476945189464,,,,,,,,,,0.0010917609877094435,,0.0010917609877094435,,0.0010666052045824978,0.00037264909546017055
19,2026-07-31,1997,KYG9593A1040,32596601W,,,,,,,,,,,,,,,,,0.0010866353492694932,,,,0.0015638738472594732,-0.001315075735195466,0.002269150288180412,-0.001315075735195466,,,,-0.0003434025658670653,,,,,-0.00048019362944896687,-0.0013301915482436897,,,0.0010969352104000098,,,,0.001780410226110785,-0.0006074890535286143,,,,0.0010917609877094435,,0.0010917609877094435,,-0.0010666052045824978,9.457295562626896e-05
20,2026-07-31,1CNHI,NL0010545661,29578601W,,,,,,,,,0.0005577188660106073,,,,-0.0007301366857867572,-0.00204825955216285,,,0.0010866353492694932,,,,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,-0.00048019362944896687,,-0.00039700399553070675,,-0.0011127563913192406,,,,,,0.0013535282420725264,-0.0007766890248134296,0.0013456588918279188,,,-0.0002778551373282137,,0.0010666052045824978,-1.1507575675865998e-05
21,2026-07-31,2,HK0002007356,10066501W,-0.00031619307294317216,,,,-0.0005445960691632988,,,-0.000580083532316797,0.0005577188660106073,,,,,0.0006888491946261965,,0.001881734385320342,0.0010866353492694932,,,,,,,,-0.0004125727796691658,,,,,-0.00039295981221460445,,0.002630151470390932,-0.00048019362944896687,-0.0013301915482436897,,,,,,,,-0.0006074890535286143,,,,0.0010917609877094435,,-0.0002778551373282137,,-0.0010666052045824978,1.039056870071255e-05
22,2026-07-31,2388,HK2388011192,03164801W,-0.00031619307294317216,,,0.0010520605881563728,-0.0005445960691632988,,,-0.000580083532316797,0.0005577188660106073,,-0.0013859480802060002,,-0.0007301366857867572,,,,,0.002183521975418887,0.0010332737919392947,,0.0015638738472594732,,0.002269150288180412,,,,,,,,-0.000362211783089831,,-0.00048019362944896687,0.0026005992066786745,,,,,,,,,,,-0.0013456588918279188,,,,0.0018082291358937658,,0.00022470921896279824
23,2026-07-31,2502,JP3116000005,10295001W,-0.00031619307294317216,-0.0003459691022337848,,,,,,,,,,,,0.0006888491946261965,-0.000863631826098515,-0.00047820935825289675,,,0.0010332737919392947,,0.0015638738472594732,-0.001315075735195466,0.002269150288180412,-0.001315075735195466,,,,-0.0003434025658670653,,,,,,,,,0.0010969352104000098,,,,0.001780410226110785,0.0011808843336449082,0.0013535282420725264,0.0015430221959626803,,0.0010917609877094435,-0.00062051830936837,0.0010917609877094435,0.0018082291358937658,,0.00028608361740826933
24,2026-07-31,2503,JP3258000003,01872901W,0.0009295314433510121,0.0010196181911647667,,,,,,,,,-0.0013859480802060002,,0.0014199590760392762,-0.00204825955216285,,-0.00047820935825289675,-0.0005497703786090309,,,,-0.0007926483883369932,,,,,,,0.0013378805167306475,,0.0011630820572583016,0.0010666052045824978,,,,0.0011630820572583016,0.0031277476945189464,0.0010969352104000098,,,,0.001780410226110785,,,,,,,-0.0002778551373282137,,,0.00014744182866226042
25,2026-07-31,2587,JP3336560002,31564801W,-0.00031619307294317216,-0.0003459691022337848,,,-0.0005445960691632988,,,,,,-0.0013859480802060002,,-0.0007301366857867572,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,,0.0010332737919392947,,-0.0007926483883369932,,,,,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,,,-0.00039700399553070675,,-0.0011127563913192406,,,,0.001780410226110785,,,,,0.0010917609877094435,0.00062051830936837,-0.0002778551373282137,,-0.0010666052045824978,-9.857973668622453e-05
26,2026-07-31,27,HK0027032686,10711401W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,,-0.00043343320111311243,,-0.000580083532316797,,-0.0008092773755049022,,,,,,-0.00047820935825289675,-0.0005497703786090309,0.002183521975418887,,-0.0011689562090626366,0.0015638738472594732,-0.001315075735195466,,-0.001315075735195466,0.0016185547510098044,,,-0.0003434025658670653,,0.0011630820572583016,0.0010666052045824978,0.002630151470390932,,0.0026005992066786745,,0.0031277476945189464,0.0010969352104000098,,,,,,,,,0.0010917609877094435,,-0.0002778551373282137,,-0.0010666052045824978,0.00016776035309212288
27,2026-07-31,2801,JP3240400006,10193201W,0.0009295314433510121,-0.0003459691022337848,,,,,,,,,,,,-0.00204825955216285,,-0.00047820935825289675,-0.0005497703786090309,,0.0010332737919392947,,-0.0007926483883369932,,-0.0023145332939440203,,,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,,,-0.00039700399553070675,,,,,-0.0009524828370140001,,,-0.001361490172908247,-0.0007766890248134296,,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,-0.0010666052045824978,-0.0002603329018685561
28,2026-07-31,2802,JP3119600009,10025301W,,-0.0003459691022337848,,,,,,,,,,,-0.0007301366857867572,-0.00204825955216285,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,,0.0010332737919392947,,-0.0007926483883369932,,-0.0023145332939440203,,,,,0.0013378805167306475,,,,,,,-0.00039700399553070675,,,,,-0.0009524828370140001,-0.001780410226110785,-0.0006074890535286143,-0.001361490172908247,-0.0007766890248134296,-0.0013456588918279188,-0.00037032532703104327,-0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,,-0.00033994615283035665
29,2026-07-31,285A,JP3236330001,33964401W,0.0009295314433510121,0.0010196181911647667,,0.0010520605881563728,0.0010617125201578075,0.001278747676212166,,,,-0.0008092773755049022,-0.0013859480802060002,,0.0014199590760392762,,,0.001881734385320342,,,,-0.0011689562090626366,,,,,0.0016185547510098044,,,-0.0003434025658670653,,-0.00039295981221460445,,,,,-0.00039700399553070675,,,,,,,0.0011808843336449082,,,,,,,,,6.882427817125089e-05
30,2026-07-31,288,KYG960071028,31747801W,0.0009295314433510121,0.0010196181911647667,,,-0.0005445960691632988,,,,,,,,0.0014199590760392762,0.0006888491946261965,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,,-0.0030454385446631845,,-0.0007926483883369932,,-0.0023145332939440203,,,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,0.0009524828370140001,,-0.00039700399553070675,0.0031277476945189464,,,,,0.001780410226110785,0.0011808843336449082,,0.0015430221959626803,,0.0010917609877094435,0.00062051830936837,-0.0002778551373282137,0.0018082291358937658,-0.0010666052045824978,5.384891539669922e-05
31,2026-07-31,2914,JP3726800000,22352801W,,,,,0.0010617125201578075,,,,,,-0.0013859480802060002,,-0.0007301366857867572,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,,,,-0.0007926483883369932,-0.001315075735195466,-0.0023145332939440203,-0.001315075735195466,,,,-0.0003434025658670653,,0.0011630820572583016,0.0010666052045824978,,,,-0.00039700399553070675,,,,,,,0.0011808843336449082,,,-0.0013456588918279188,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,,-0.00024757208487289847
32,2026-07-31,3,HK0003000038,01852602W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,-0.0005445960691632988,,,-0.000580083532316797,0.0005577188660106073,,,,,0.0006888491946261965,,-0.00047820935825289675,0.0010866353492694932,,,,,,,,-0.0004125727796691658,,,,,-0.00039295981221460445,,-0.0006747910477970904,-0.00048019362944896687,-0.0013301915482436897,,,,,,-0.0009524828370140001,,,,,,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,,,-0.00010212869955009527
33,2026-07-31,3003,JP3360800001,20801901W,0.0009295314433510121,,,,,,,,,,,,,,,,-0.0005497703786090309,,0.0010332737919392947,,-0.0007926483883369932,0.001315075735195466,,0.001315075735195466,,,,,,,,,0.0009524828370140001,,,,-0.0011127563913192406,,,,0.001780410226110785,,0.0013535282420725264,,0.0013456588918279188,0.0010917609877094435,0.00062051830936837,-0.0002778551373282137,,0.0010666052045824978,0.0002070663247805441
34,2026-07-31,3382,JP3422950000,27396101W,-0.00031619307294317216,0.0010196181911647667,,,-0.0005445960691632988,,,,,,0.001377698389252393,,,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,,0.0010332737919392947,,,,,,,,,-0.0003434025658670653,,0.0011630820572583016,0.0010666052045824978,,-0.00048019362944896687,,-0.00039700399553070675,-0.0031277476945189464,-0.0011127563913192406,,,,,,,,0.0013456588918279188,,,-0.0002778551373282137,,,-9.139409113740224e-05
35,2026-07-31,3402,JP3621000003,10072401W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,,-0.00043343320111311243,,,,,-0.0013859480802060002,,,,-0.000863631826098515,-0.00047820935825289675,,-0.0007099795380196381,,,-0.0007926483883369932,,,,0.0016185547510098044,,,-0.0003434025658670653,,,,,0.0009524828370140001,,,,0.0010969352104000098,,,,,,,,,0.0010917609877094435,0.00062051830936837,-0.0002778551373282137,,,1.1037134753857212e-05
36,2026-07-31,3407,JP3111200006,10025801W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,,0.001278747676212166,,,,,,,,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,-0.0007099795380196381,,,-0.0007926483883369932,,,,0.0016185547510098044,,,-0.0003434025658670653,,0.0011630820572583016,0.0010666052045824978,,0.0009524828370140001,,-0.00039700399553070675,,,,,,,,,,,,0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,,-2.1751094502766837e-05
37,2026-07-31,3659,JP3758190007,31130501W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,-0.0005445960691632988,-0.00043343320111311243,,0.001701862716135309,,,,,,,,,0.0010866353492694932,,,,-0.0007926483883369932,,,,,,,,,,-0.000362211783089831,,,,,,,,,-0.0009524828370140001,,,,,,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,,0.00010727040974039996
38,2026-07-31,388,HK0388045442,24063701W,,0.0010196181911647667,,,-0.0005445960691632988,,,0.001701862716135309,-0.0016532380671028715,,,,,,0.001701862716135309,,0.0010866353492694932,-0.0007099795380196381,0.0010332737919392947,,,,-0.0023145332939440203,,,,,,,-0.00039295981221460445,-0.000362211783089831,-0.0006747910477970904,-0.00048019362944896687,0.0026005992066786745,,,,,,,-0.001780410226110785,-0.0006074890535286143,,-0.0007766890248134296,-0.0013456588918279188,-0.00037032532703104327,-0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,,-8.035175065764591e-05
39,2026-07-31,4004,JP3368000000,10069601W,0.0009295314433510121,0.0010196181911647667,,,,-0.00043343320111311243,,,,,-0.0013859480802060002,,,,-0.000863631826098515,-0.00047820935825289675,,-0.0007099795380196381,,,-0.0007926483883369932,,,,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,-0.00048019362944896687,,-0.00039700399553070675,,-0.0011127563913192406,,,,-0.001780410226110785,,,,,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,,-0.0002316890762121235
40,2026-07-31,4062,JP3148800000,10262001W,,0.0010196181911647667,,,-0.0005445960691632988,0.001278747676212166,,0.001701862716135309,,-0.0008092773755049022,,-0.0023861167978804334,,,,-0.00047820935825289675,,,,-0.0011689562090626366,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,-0.00048019362944896687,,0.0011630820572583016,,-0.0011127563913192406,,,,,,,,,,,,,,-0.00013418332425382977
41,2026-07-31,4063,JP3371200001,10069701W,,,,,,-0.00043343320111311243,,,,,,,-0.0007301366857867572,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,-0.0007099795380196381,,,-0.0007926483883369932,,,,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,-0.00048019362944896687,,-0.00039700399553070675,,,,,,,,,,,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,,,-0.00011959657139220322
42,2026-07-31,4091,JP3711600001,10104401W,,,,,,,,,,,-0.0013859480802060002,,-0.0007301366857867572,,-0.000863631826098515,-0.00047820935825289675,-0.0005497703786090309,-0.0007099795380196381,,,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,,-0.000362211783089831,,,,0.0011630820572583016,,,,,,,,,,,,,0.0010917609877094435,,,-9.394768360085698e-06
43,2026-07-31,4151,JP3256000005,10051601W,0.0009295314433510121,-0.0003459691022337848,,-0.00035718106388025003,-0.0005445960691632988,,,,,-0.0008092773755049022,,,,-0.00204825955216285,,-0.00047820935825289675,-0.0005497703786090309,,,,-0.0007926483883369932,,-0.0023145332939440203,-0.001315075735195466,,,,0.0013378805167306475,,-0.00039295981221460445,-0.000362211783089831,-0.0006747910477970904,-0.00048019362944896687,,,0.0031277476945189464,0.0010969352104000098,,,,0.001780410226110785,-0.0006074890535286143,,,,0.0010917609877094435,0.00062051830936837,-0.0002778551373282137,,-0.0010666052045824978,-7.18525665045689e-05
44,2026-07-31,4188,JP3897700005,01904502W,,0.0010196181911647667,,0.0010520605881563728,0.0010617125201578075,-0.00043343320111311243,,,,,,,,,,-0.00047820935825289675,,-0.0007099795380196381,,,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,-0.00048019362944896687,,,,0.0010969352104000098,,,,0.001780410226110785,0.0011808843336449082,,,,0.0010917609877094435,0.00062051830936837,0.0010917609877094435,,,0.00016062838503291943
45,2026-07-31,4307,JP3762800005,24960401W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,,-0.00043343320111311243,,-0.000580083532316797,,-0.0008092773755049022,-0.0013859480802060002,-0.0023861167978804334,,,,-0.00047820935825289675,,,,-0.0011689562090626366,,,,,-0.0004125727796691658,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,,,-0.00039700399553070675,,,,,,,,,,,,,,,,-0.00028183599617880294
46,2026-07-31,4452,JP3205800000,01871501W,-0.00031619307294317216,0.0010196181911647667,,,,,,,,,,,-0.0007301366857867572,0.0006888491946261965,-0.000863631826098515,-0.00047820935825289675,,,,,-0.0007926483883369932,,-0.0023145332939440203,,,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,,,,-0.00039700399553070675,,,,,-0.0009524828370140001,,,,-0.0007766890248134296,,-0.00037032532703104327,0.00062051830936837,-0.0002778551373282137,-0.0009076601152721648,-0.0010666052045824978,-0.00023754383480251796
47,2026-07-31,4502,JP3463000004,10071801W,-0.00031619307294317216,-0.0003459691022337848,,-0.00035718106388025003,,,,,0.0005577188660106073,-0.0008092773755049022,,,,0.0006888491946261965,,-0.00047820935825289675,0.0010866353492694932,,,,,-0.001315075735195466,,-0.001315075735195466,,,,-0.0003434025658670653,,-0.00039295981221460445,-0.000362211783089831,-0.0006747910477970904,-0.00048019362944896687,,-0.00039700399553070675,,,,,0.0009485792188295165,,-0.0006074890535286143,0.0013535282420725264,-0.0007766890248134296,0.0013456588918279188,0.0010917609877094435,,-0.0002778551373282137,-0.0009076601152721648,,-0.00010467404377151977
