style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Valuation,Volatility,MP
16,2026-05-31,1925,JP3505000004,01783001W,,,,,,,,,,0.0024339286921416336,,,,0.001830475297395774,,,,,,0.0012656429199136494,0.0012656429199136494,,-0.0007457491952353153,,,0.0031641072997841235,0.0029930744727687656,0.001942872903376216,0.0009190353152899943,0.001318378041576718,0.0011476036838595266,0.0010648438028119647,,,,,,,,,,,0.0017037500844991435,,,,,,-0.0006836034289657057,,0.0002857900247683972
17,2026-05-31,1928,JP3420600003,10092601W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,-0.0009385064024783416,,,-0.0005859457962563192,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,,,,-0.0029930744727687656,-0.001942872903376216,0.0009190353152899943,,,0.0010648438028119647,,-0.0006552884940381321,,-0.00043772235372507634,0.0010301744696971564,,,,,,,,,,,,-0.0006836034289657057,,-0.00018870567370907597
18,2026-05-31,1928,KYG7800X1079,29342501W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,0.002734413715862823,,,,0.0017578373887689573,0.0016285846395947695,,0.001652891873021557,,0.0012656429199136494,-0.00023562501168605175,0.002171446186126359,,,,0.0029930744727687656,0.001942872903376216,,,,,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,,,,,,,0.0010206797741239108,0.00011896000508758198
19,2026-05-31,1997,KYG9593A1040,32596601W,,,,,,,,,,-0.0006364583648991053,,,0.0011019279153477047,,,,,,,-0.0012729167297982106,-0.0012584517669595946,,0.002171446186126359,,,-0.0010857230930631796,,,-0.00046433440458047936,,,0.0010648438028119647,,,,,,,-0.0003825345612865089,,,,0.0017037500844991435,-0.0005798102381803368,,,,,0.0013423485514235676,-0.0010301744696971564,5.756858825461746e-05
20,2026-05-31,1CNHI,NL0010545661,29578601W,,,,,,,,,,,0.0006382925388613506,,,,-0.0005859457962563192,,,,,,,-0.00023562501168605175,,,,,,,-0.00046433440458047936,,,0.0010648438028119647,0.0011300383213514727,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,0.0014765834065659244,,,,,,,,,,,0.0010206797741239108,4.319776226867872e-05
21,2026-05-31,2,HK0002007356,10066501W,,,-0.00033206523386040276,,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,,,,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,-0.0010857230930631796,,,-0.00046433440458047936,,,,,-0.0006552884940381321,,-0.00043772235372507634,,-0.0003578150419788185,,,,,,-0.0005798102381803368,,,0.004429750219697773,,,-0.0010301744696971564,3.232383347523482e-05
22,2026-05-31,2388,HK2388011192,03164801W,,0.0011476036838595266,,,-0.0005187061147187088,,,-0.0005607278759111105,,,0.0006382925388613506,,-0.0011074375549244432,,-0.0005859457962563192,0.0017578373887689573,,,0.001652891873021557,,,-0.00023562501168605175,0.002171446186126359,,,0.0031641072997841235,,,-0.00046433440458047936,,,,,,,,-0.00034934938641149627,,,,,,,,,,,,,,9.343979228198675e-05
23,2026-05-31,2502,JP3116000005,10295001W,,,-0.00033206523386040276,-0.0005349939878862045,,,,,,,,,,0.001830475297395774,,,-0.0008295412396437777,,0.001652891873021557,-0.0012729167297982106,-0.0012584517669595946,0.0009267259873844713,0.002171446186126359,0.0006651276606152812,,,,,,,,0.0010648438028119647,,,,-0.00043772235372507634,,0.0010547024332613745,-0.0003825345612865089,,,0.0022148751098488863,0.0017037500844991435,0.0011300383213514727,0.0022148751098488863,0.002768593887311108,0.004429750219697773,0.002839583474165239,0.0013423485514235676,-0.0010301744696971564,0.0007104724576190623
24,2026-05-31,2503,JP3258000003,01872901W,,,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,,,,,,,-0.0011074375549244432,0.001830475297395774,0.0011300383213514727,,,,-0.0008326598157326641,,,0.0009267259873844713,-0.0007457491952353153,-0.001977567062365077,,,0.0029930744727687656,0.001942872903376216,,,0.0011476036838595266,0.0010648438028119647,0.0011300383213514727,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,0.0014765834065659244,,,0.0022148751098488863,0.0017037500844991435,0.0011300383213514727,0.0022148751098488863,0.002768593887311108,,,,,0.0005098053034993433
25,2026-05-31,2587,JP3336560002,31564801W,,,-0.00033206523386040276,-0.0005349939878862045,-0.0005187061147187088,,,,,,,,-0.0011074375549244432,0.001830475297395774,-0.0005859457962563192,,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,,,,,-0.001942872903376216,,-0.0006671310571833996,,-0.0010751820921596534,-0.0005738018419297633,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,0.0017037500844991435,,0.0022148751098488863,0.002768593887311108,0.004429750219697773,,,-0.0010301744696971564,0.00024287181116497183
26,2026-05-31,27,HK0027032686,10711401W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,0.002734413715862823,,-0.0018457292582074053,,0.0017578373887689573,,,0.001652891873021557,-0.0012729167297982106,-0.0012584517669595946,0.0009267259873844713,-0.0007457491952353153,,,,0.0029930744727687656,0.001942872903376216,,0.001318378041576718,,0.0010648438028119647,,0.001925978356390336,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,,,,,,,,-0.0010301744696971564,-9.807994321116205e-05
27,2026-05-31,2801,JP3240400006,10193201W,,,,,-0.0005187061147187088,,,,,,,,,-0.0018457292582074053,-0.0005859457962563192,,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,-0.001977567062365077,,,,,,-0.0006671310571833996,-0.0011535807863796283,,-0.0005738018419297633,,,,,,-0.0003825345612865089,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,-0.0006836034289657057,-0.0010301744696971564,-0.0005471325288228069
28,2026-05-31,2802,JP3119600009,10025301W,,,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,,,,,,,,0.001830475297395774,0.0011300383213514727,,,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,-0.001977567062365077,,,,,,0.001318378041576718,,,,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,-0.0022600766427029453,-0.0014382305908109652,,,-0.0001425731817452605
29,2026-05-31,285A,JP3236330001,33964401W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,0.0011416882009530342,-0.0005607278759111105,-0.0007826413815720446,0.0024339286921416336,,-0.0009385064024783416,,,0.0011300383213514727,,,-0.0011596204763606737,,,0.0012656429199136494,,,,,,,,,,,,,,,,,0.0010547024332613745,,,,,,0.0011300383213514727,,,,,,0.0010206797741239108,0.0001916991676387402
30,2026-05-31,288,KYG960071028,31747801W,,,0.00098003323444641,,-0.0005187061147187088,,,,,,,,,0.001830475297395774,0.0011300383213514727,,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,0.0006651276606152812,,,0.0029930744727687656,-0.001942872903376216,0.0009190353152899943,,-0.0011535807863796283,,-0.0005738018419297633,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,0.0022148751098488863,0.0017037500844991435,0.0011300383213514727,0.0022148751098488863,0.002768593887311108,0.004429750219697773,0.002839583474165239,-0.0006836034289657057,-0.0010301744696971564,0.0004659969405567637
31,2026-05-31,2914,JP3726800000,22352801W,,,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,,,,,,,-0.0011074375549244432,0.001830475297395774,,,-0.0008295412396437777,,-0.0008326598157326641,-0.0012729167297982106,-0.0012584517669595946,0.0009267259873844713,-0.0007457491952353153,,,,,-0.001942872903376216,,-0.0006671310571833996,-0.0011535807863796283,,-0.0005738018419297633,,,0.0012952486022508108,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,-0.0005782963733286909,0.0011300383213514727,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,-0.0006836034289657057,,-3.0687744661727375e-05
32,2026-05-31,3,HK0003000038,01852602W,,,-0.00033206523386040276,,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,,0.0006382925388613506,,,,,,,,,,,-0.00023562501168605175,,0.0006651276606152812,,-0.0010857230930631796,,,-0.00046433440458047936,,0.0011476036838595266,,,,,-0.00043772235372507634,,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,,-0.0007508051219826733,-0.0014107484776107557,-0.0022600766427029453,,,,-0.00020327246213107364
33,2026-05-31,3003,JP3360800001,20801901W,,,,,,,,,,-0.0006364583648991053,,,,0.001830475297395774,,,,,,0.0012656429199136494,0.0012656429199136494,,-0.0007457491952353153,,,,,-0.001942872903376216,0.0009190353152899943,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,,,,,,,,,,,0.0017037500844991435,,,,,,-0.0006836034289657057,0.0010206797741239108,0.0002024645445467335
34,2026-05-31,3382,JP3422950000,27396101W,,,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,,,,,,,,,-0.0005859457962563192,,-0.0008295412396437777,,0.001652891873021557,,,-0.00023562501168605175,,,,,,,0.0009190353152899943,0.001318378041576718,,0.0010648438028119647,0.0011300383213514727,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,0.0014765834065659244,,,-0.001118623792852973,,,-0.0007508051219826733,0.002768593887311108,0.004429750219697773,,,,0.00030800649191918176
35,2026-05-31,3402,JP3621000003,10072401W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,,-0.0006364583648991053,,-0.0009385064024783416,-0.0011074375549244432,0.001830475297395774,,-0.0005375910460798267,,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,0.0009190353152899943,,,0.0010648438028119647,,0.001925978356390336,,,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,,,,0.002768593887311108,,,,,0.00021205668821506053
36,2026-05-31,3407,JP3111200006,10025801W,,,,,,,0.0011416882009530342,,,-0.0006364583648991053,,-0.0009385064024783416,,-0.0018457292582074053,,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,0.0009190353152899943,,,,-0.0005738018419297633,0.001925978356390336,,,0.0010301744696971564,0.0010547024332613745,-0.0003825345612865089,,,,0.0017037500844991435,,,0.002768593887311108,0.004429750219697773,,,,0.0001332763061243771
37,2026-05-31,3659,JP3758190007,31130501W,,,,,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,-0.0006364583648991053,,,,-0.0018457292582074053,,,,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,,,,,,,,,-0.00034934938641149627,-0.0003578150419788185,,,,,,,,,,,0.0013423485514235676,,-0.00019200446053613748
38,2026-05-31,388,HK0388045442,24063701W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,-0.0005187061147187088,,,0.0016406482295176937,,,-0.001893055649443493,,,,,-0.0005375910460798267,0.0016285846395947695,,,,,-0.00023562501168605175,-0.0007457491952353153,,,0.0031641072997841235,,,-0.00046433440458047936,,,,,,,,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,-0.0005782963733286909,-0.0005798102381803368,-0.0007508051219826733,-0.0014107484776107557,,-0.0014382305908109652,,,-6.80364973792672e-05
39,2026-05-31,4062,JP3148800000,10262001W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,0.0011416882009530342,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,-0.0009385064024783416,,-0.0018457292582074053,-0.0005859457962563192,,,-0.0011596204763606737,,-0.0012729167297982106,,-0.00023562501168605175,,,,,,,-0.00046433440458047936,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,,,,,,,,-0.0003151387379015588
40,2026-05-31,4063,JP3371200001,10069701W,,-0.0003865401587868912,,,-0.0005187061147187088,,-0.0003865401587868912,-0.0005607278759111105,,-0.0006364583648991053,,,,,-0.0005859457962563192,-0.0005375910460798267,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,,,,,,,,,,,,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,-0.0005782963733286909,,,-0.0014107484776107557,,,,,-0.00019908947025349438
41,2026-05-31,4091,JP3711600001,10104401W,,-0.0003865401587868912,-0.00033206523386040276,,,,-0.0003865401587868912,,,-0.0006364583648991053,,-0.0009385064024783416,,,,-0.0005375910460798267,-0.0008295412396437777,,,,,-0.00023562501168605175,,,,,,,,,,,-0.0005738018419297633,-0.0006552884940381321,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,,,,,,,,,-0.00011110567579443577
42,2026-05-31,4151,JP3256000005,10051601W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,-0.0005187061147187088,,,,-0.0007826413815720446,,,,-0.0011074375549244432,-0.0018457292582074053,,-0.0005375910460798267,,-0.0011596204763606737,-0.0008326598157326641,,-0.0012584517669595946,-0.00023562501168605175,-0.0007457491952353153,-0.001977567062365077,,,0.0029930744727687656,,-0.00046433440458047936,,,0.0010648438028119647,,,,-0.00043772235372507634,,-0.0003578150419788185,,,,,0.0017037500844991435,-0.0005798102381803368,,,,,,-0.0010301744696971564,-0.000325601420946499
43,2026-05-31,4188,JP3897700005,01904502W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,0.0010159977568114159,,-0.0003865401587868912,,,-0.0006364583648991053,,-0.0009385064024783416,,,,-0.0005375910460798267,,,,,,-0.00023562501168605175,,,,,,0.001942872903376216,,,,0.0010648438028119647,0.0011300383213514727,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,-0.0003825345612865089,,,,0.0017037500844991435,0.0011300383213514727,,0.002768593887311108,0.004429750219697773,,0.0013423485514235676,,0.0002868180832833669
44,2026-05-31,4307,JP3762800005,24960401W,,-0.0003865401587868912,-0.00033206523386040276,-0.0005349939878862045,,,-0.0003865401587868912,-0.0005607278759111105,-0.0007826413815720446,-0.0006364583648991053,,-0.0009385064024783416,,0.001830475297395774,,,,-0.0011596204763606737,,,,-0.00023562501168605175,,,,,,,,-0.0006671310571833996,-0.0011535807863796283,-0.0010751820921596534,-0.0005738018419297633,,,-0.00043772235372507634,,,-0.0003825345612865089,,,,,,,,,,,,2.2889545025364705e-05
45,2026-05-31,4452,JP3205800000,01871501W,,,-0.00033206523386040276,-0.0005349939878862045,,,,,,,,,,-0.0018457292582074053,-0.0005859457962563192,,-0.0008295412396437777,,-0.0008326598157326641,,,-0.00023562501168605175,-0.0007457491952353153,0.0006651276606152812,,,,,,,,,,,,,,,-0.0003825345612865089,,,-0.001118623792852973,-0.0005782963733286909,,-0.0007508051219826733,,,-0.0014382305908109652,,-0.0010301744696971564,-0.00035414131969573997
46,2026-05-31,4502,JP3463000004,10071801W,,,,0.0010547024332613745,-0.0005187061147187088,,,,-0.0007826413815720446,,,,,-0.0018457292582074053,-0.0005859457962563192,-0.0005375910460798267,-0.0008295412396437777,-0.0011596204763606737,,-0.0012729167297982106,,-0.00023562501168605175,,0.0006651276606152812,,,,,-0.00046433440458047936,,,,,,,-0.00043772235372507634,-0.00034934938641149627,-0.0003578150419788185,,,,-0.001118623792852973,,-0.0005798102381803368,-0.0007508051219826733,,,,0.0013423485514235676,,-0.00022636709119371225
47,2026-05-31,4503,JP3942400007,10066801W,,0.0011476036838595266,0.00098003323444641,0.0010547024332613745,0.0010159977568114159,,,,-0.0007826413815720446,,,,-0.0011074375549244432,0.001830475297395774,,0.0017578373887689573,-0.0008295412396437777,-0.0011596204763606737,-0.0008326598157326641,,,-0.00023562501168605175,,0.0006651276606152812,,,-0.0029930744727687656,-0.001942872903376216,0.0009190353152899943,,,,,,,-0.00043772235372507634,,0.0010547024332613745,,,,-0.001118623792852973,-0.0005782963733286909,0.0011300383213514727,-0.0007508051219826733,,,,-0.0006836034289657057,,0.00013754172218321758
