style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Valuation,Valuation,Volatility,MP
8,2025-11-30,12,HK0012000102,01569701W,,,,,,,,,-0.002628630176313332,,-0.002902007714649918,,,,0.002211896123970974,,,-0.0035563820032474486,-0.002434570230411005,-0.001971472632234999,,,,,,,,,,,,,-0.0007701718987924411,,,,,,,,,0.001832075577430504,,,-0.0006341800075720975,0.0009830649439870997,,,,,-8.98430705757648e-05
9,2025-11-30,1299,HK0000069689,29573501W,,-0.0007573089025704378,-0.001598021869300616,-0.0005366138525610055,-0.001598021869300616,,-0.0008281985487014606,0.0016122265081388433,,,,,,,,,,,,,,,,,,,-0.0008555447271963202,,,,-0.0008912800106418668,,,,,-0.0015703504949404318,,,,,,,,-0.0005632778949242853,-0.0006341800075720975,,,,,,-0.0001534496460806984
10,2025-11-30,1308,KYG8187G1055,29553601W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,-0.0008281985487014606,0.0016122265081388433,,,,,,,,,0.002748113366145756,,,,,,,,,,,,,,,,0.0015177864616369864,,0.0015568710915503854,-0.0015703504949404318,,0.002061085024609317,0.002812022979311936,0.001960816023412107,,-0.00046746258290108214,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,0.0004451049775875511
11,2025-11-30,16,HK0016000132,01942101W,,,,,,,,,,,0.0028563068057577932,0.0028563068057577932,,,0.002211896123970974,,,,,,,,,0.007718105624068931,,,,,,,,,0.0015177864616369864,,,,,0.002061085024609317,,0.001960816023412107,0.003664151154861008,0.001832075577430504,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,0.000464692215737194
12,2025-11-30,1605,JP3294460005,27119601W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,-0.0008281985487014606,0.0016122265081388433,,,,,,,0.002211896123970974,-0.002049440476447682,,,,-0.001971472632234999,,,,,,-0.002418339762208265,,-0.0029733685600921295,0.001314315088156666,,,,,,0.0015568710915503854,0.0007903071118327664,,,,,,-0.00046746258290108214,,-0.0005632778949242853,0.0018602613555448193,-0.001960816023412107,,,0.001563581742807068,,0.0001935166166984834
13,2025-11-30,1801,JP3443600006,10094901W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,-0.0008281985487014606,0.0016122265081388433,,,,,,,,,,,0.002418339762208265,,,0.001909215601743367,,,,,,,,,,,0.0015177864616369864,,0.0015568710915503854,0.0007903071118327664,,-0.00207286265332137,0.002812022979311936,,,-0.00046746258290108214,,-0.0005632778949242853,0.0018602613555448193,0.0009830649439870997,,,-0.0007903071118327664,,0.00033885932922324665
14,2025-11-30,1802,JP3190000004,10091901W,,0.0014866842800460647,,,,,-0.0008281985487014606,0.0016122265081388433,,,,,,,,,,,,,,,,,,,,,,,,,0.0015177864616369864,,0.0015568710915503854,0.0007903071118327664,,,0.002812022979311936,,,-0.00046746258290108214,,,0.0018602613555448193,0.0009830649439870997,,,-0.0007903071118327664,,0.00019168522885532754
15,2025-11-30,1812,JP3210200006,01870901W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,,0.0016122265081388433,,,,,,,,,,,,,,,,,,,,,,,,,0.0015177864616369864,,,,,-0.00207286265332137,,-0.0019502740017808592,,-0.00046746258290108214,,-0.0005632778949242853,0.0018602613555448193,-0.001960816023412107,,,-0.0007903071118327664,,0.00013513291594782306
16,2025-11-30,1878,JP3486800000,20154301W,,,,,,,,,0.001314315088156666,,-0.002902007714649918,-0.002902007714649918,,,,,,0.0035218540226333956,0.002418339762208265,0.001960816023412107,,,,0.007718105624068931,,,,-0.0029733685600921295,,,,,0.0015177864616369864,,,,,-0.00207286265332137,,,-0.001879538675291398,-0.00046746258290108214,,-0.0005632778949242853,0.0018602613555448193,,,,0.001563581742807068,,0.00012565955278927524
17,2025-11-30,19,HK0019000162,10056201W,,-0.0007573089025704378,-0.001598021869300616,-0.0005366138525610055,-0.001598021869300616,,0.0016340133528434224,-0.0005512932588620666,,,,,,,,,-0.0027690913307728223,,-0.002434570230411005,-0.001971472632234999,,-0.001909215601743367,,,,,,,,,,,0.0015177864616369864,,-0.000527254308620988,-0.0015703504949404318,,,,0.001960816023412107,,-0.00046746258290108214,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,-0.0007903071118327664,-0.0016950979641646717,-0.0002278215715022933
18,2025-11-30,1925,JP3505000004,01783001W,,,,,,,,,0.001314315088156666,,0.0028563068057577932,0.0028563068057577932,,,-0.002225466038841962,,,0.0035218540226333956,0.002418339762208265,0.001960816023412107,,,,0.007718105624068931,,,,,,,,,0.0015177864616369864,,,,,0.002061085024609317,,0.001960816023412107,,0.001832075577430504,,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,-0.0007903071118327664,,0.0004564573279235602
19,2025-11-30,1928,JP3420600003,10092601W,,-0.0007573089025704378,,0.0015840653464246277,,,,0.0016122265081388433,-0.002628630176313332,-0.004478406967052343,,,-0.0011589487678314368,,-0.002225466038841962,-0.002049440476447682,,,,,-0.0019822457067280863,-0.001909215601743367,,,,-0.002418339762208265,-0.0008555447271963202,-0.0029733685600921295,0.001314315088156666,,-0.0008912800106418668,,0.0015177864616369864,,,,,,,,,-0.00046746258290108214,-0.002281452605856854,0.0016639952492258706,,0.0009830649439870997,,,-0.0007903071118327664,,-0.0002121014351230478
20,2025-11-30,1928,KYG7800X1079,29342501W,,,,-0.0005366138525610055,,,,0.0016122265081388433,0.001314315088156666,0.004423792247941948,,,-0.0011589487678314368,,0.002211896123970974,0.002037926765905841,,,,0.001960816023412107,,,,,,0.0024023242670943032,0.0027274508596333816,,0.001314315088156666,,0.002609719167850646,,-0.0007701718987924411,,-0.000527254308620988,,,-0.00207286265332137,,-0.0019502740017808592,-0.001879538675291398,0.001832075577430504,,-0.0005632778949242853,,-0.001960816023412107,,,,0.001671663430097879,0.00019741780356522282
21,2025-11-30,1997,KYG9593A1040,32596601W,,,,,,,,,-0.002628630176313332,,,,,,,,,-0.0035563820032474486,-0.002434570230411005,-0.001971472632234999,,,,,,,,0.0029733685600921295,,,,,-0.0007701718987924411,,,,,,,,,-0.00046746258290108214,,,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,2.4750067849542616e-05
22,2025-11-30,1CNHI,NL0010545661,29578601W,,,,,,,,,,,,,,,,,-0.0027690913307728223,,,,,-0.001909215601743367,,,,,,,,,,,-0.0007701718987924411,,-0.000527254308620988,-0.0015703504949404318,,0.002061085024609317,-0.002812022979311936,0.001960816023412107,,0.001832075577430504,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,0.001671663430097879,0.000161084213401024
23,2025-11-30,2,HK0002007356,10066501W,,-0.0007573089025704378,,,,,-0.0008281985487014606,-0.0005512932588620666,,,,,,,,,,,,,,,,-0.007718105624068931,,,,,,,,,,,,0.0007903071118327664,,,-0.002812022979311936,,,,,,-0.0006341800075720975,,,,,-0.0016950979641646717,-0.00031768783362753444
24,2025-11-30,2388,HK2388011192,03164801W,,,,,,,-0.0008281985487014606,,,,,,,,,0.002037926765905841,,,,,,,,,,0.0024023242670943032,0.0027274508596333816,,,,,,-0.0007701718987924411,,,0.0007903071118327664,,,,,,,,,-0.0006341800075720975,,,,,,9.089628981905162e-05
25,2025-11-30,2413,JP3435750009,27093901W,,,,-0.0005366138525610055,,,,-0.0005512932588620666,,,-0.002902007714649918,-0.002902007714649918,-0.0011589487678314368,,,,,,,,,,,,,,-0.0008555447271963202,,,,-0.0008912800106418668,,,,-0.000527254308620988,-0.0015703504949404318,,,,-0.0019502740017808592,,-0.00046746258290108214,,-0.0005632778949242853,,-0.001960816023412107,,,-0.0007903071118327664,,-0.00036391032679800023
26,2025-11-30,2502,JP3116000005,10295001W,,-0.0007573089025704378,,-0.0005366138525610055,,,0.0016340133528434224,,,,0.0028563068057577932,0.0028563068057577932,,,0.002211896123970974,0.002037926765905841,,,-0.002434570230411005,-0.001971472632234999,,,,,,-0.002418339762208265,,,0.001314315088156666,,,,,,0.0015568710915503854,0.0007903071118327664,,,,,,-0.00046746258290108214,,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,0.001563581742807068,,0.00026472485626013743
27,2025-11-30,2503,JP3258000003,01872901W,,0.0014866842800460647,,0.0015840653464246277,,,0.0016340133528434224,,,,-0.002902007714649918,-0.002902007714649918,,,-0.002225466038841962,,,,,,,,,,,-0.002418339762208265,,0.0029733685600921295,-0.005109168511707602,,-0.0008912800106418668,,0.0015177864616369864,,-0.000527254308620988,,,,,,-0.001879538675291398,-0.00046746258290108214,-0.002281452605856854,0.0016639952492258706,0.0018602613555448193,,,,-0.0007903071118327664,,-0.00013944042590923294
28,2025-11-30,2587,JP3336560002,31564801W,,-0.0007573089025704378,,-0.0005366138525610055,,,-0.0008281985487014606,,,,0.0028563068057577932,0.0028563068057577932,,,,-0.002049440476447682,,,,,,,,,,,,,-0.005109168511707602,,,,,,,0.0007903071118327664,,0.002061085024609317,,,,-0.00046746258290108214,,0.0016639952492258706,0.0018602613555448193,,,,,-0.0016950979641646717,-0.0001770159641170511
29,2025-11-30,27,HK0027032686,10711401W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,,,,-0.0005512932588620666,,0.004423792247941948,-0.002902007714649918,-0.002902007714649918,,,,0.002037926765905841,,,,-0.001971472632234999,,,,,,,0.0027274508596333816,,0.001314315088156666,,0.002609719167850646,,,,,,,,,,,0.001832075577430504,,-0.0005632778949242853,,,,,,-0.0016950979641646717,0.00016778745023585456
30,2025-11-30,2801,JP3240400006,10193201W,,,,,,,,,,,-0.002902007714649918,-0.002902007714649918,,,,-0.002049440476447682,,,,,,,,,,,,-0.0029733685600921295,0.001314315088156666,,,,,,,,,,,-0.0019502740017808592,-0.001879538675291398,-0.00046746258290108214,,-0.0005632778949242853,,-0.001960816023412107,,,-0.0007903071118327664,-0.0016950979641646717,-0.0003573543489333245
31,2025-11-30,2802,JP3119600009,10025301W,,,0.0015840653464246277,0.0015840653464246277,,,,,,,0.0028563068057577932,0.0028563068057577932,,,,-0.002049440476447682,,,,,,0.001909215601743367,,,,,,0.0029733685600921295,0.001314315088156666,,-0.0008912800106418668,,,,-0.000527254308620988,0.0007903071118327664,,0.002061085024609317,,,,-0.00046746258290108214,,,-0.0006341800075720975,,,,,,0.00033700533683982066
32,2025-11-30,288,KYG960071028,31747801W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,,,,,0.001314315088156666,,0.0028563068057577932,0.0028563068057577932,,,,-0.002049440476447682,,,,,,0.001909215601743367,,,,-0.002418339762208265,,,-0.005109168511707602,,0.002609719167850646,,0.0015177864616369864,,0.0015568710915503854,,,,,,,0.001832075577430504,,0.0016639952492258706,-0.0006341800075720975,,,,0.001563581742807068,-0.0016950979641646717,8.688923616902393e-05
33,2025-11-30,2914,JP3726800000,22352801W,,0.0014866842800460647,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,0.0016340133528434224,,,,-0.002902007714649918,-0.002902007714649918,,,,-0.002049440476447682,,,-0.002434570230411005,-0.001971472632234999,,,,,,-0.002418339762208265,,0.0029733685600921295,0.001314315088156666,,-0.0008912800106418668,,,,-0.000527254308620988,,,,,,0.003664151154861008,-0.00046746258290108214,,,-0.0006341800075720975,,,,,,0.00025265935412568604
34,2025-11-30,3,HK0003000038,01852602W,,-0.0007573089025704378,,,,,-0.0008281985487014606,-0.0005512932588620666,,,,,,,,,,,,,,,,-0.007718105624068931,,,,,,,,,-0.0007701718987924411,,,,,,,,,,,,-0.0006341800075720975,,,,,,-0.0002373124455356458
35,2025-11-30,3003,JP3360800001,20801901W,,,,,,,,,0.001314315088156666,,0.0028563068057577932,0.0028563068057577932,,,-0.002225466038841962,,,,0.002418339762208265,0.001960816023412107,,,,,,,,,,,,,0.0015177864616369864,,,,,0.002061085024609317,,-0.0019502740017808592,,-0.00046746258290108214,,0.0016639952492258706,0.0018602613555448193,-0.001960816023412107,,,-0.0007903071118327664,0.001671663430097879,0.00016053304504125575
36,2025-11-30,3038,JP3291200008,27811401W,,,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,0.0016340133528434224,,0.001314315088156666,,-0.002902007714649918,-0.002902007714649918,,,,,,,0.002418339762208265,,,,,,,,,,0.001314315088156666,,-0.0008912800106418668,,,,-0.000527254308620988,,,,,,,-0.00046746258290108214,0.002267193527070249,-0.0005632778949242853,,,,,,-0.0016950979641646717,0.00018142154282159987
37,2025-11-30,3064,JP3922950005,28172601W,,-0.0007573089025704378,,-0.0005366138525610055,,,,-0.0005512932588620666,,,,,,,,,0.002748113366145756,,0.002418339762208265,,,,,,,,,,,,,,,,-0.000527254308620988,,,-0.00207286265332137,,,,-0.00046746258290108214,,-0.0005632778949242853,,,,,-0.0007903071118327664,-0.0016950979641646717,-0.00016822803506336443
38,2025-11-30,3088,JP3869010003,22119201W,,,,,,,,,,,-0.002902007714649918,-0.002902007714649918,,,,,,,,,,,,,,,,,0.001314315088156666,,0.002609719167850646,,,,,0.0007903071118327664,,0.002061085024609317,,0.001960816023412107,0.003664151154861008,0.001832075577430504,0.002267193527070249,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,0.00035100091434974546
39,2025-11-30,3092,JP3399310006,28762201W,,,,-0.0005366138525610055,,,-0.0008281985487014606,-0.0005512932588620666,0.001314315088156666,0.004423792247941948,0.0028563068057577932,0.0028563068057577932,0.0033901959283293434,,,,,,,,0.0039005480035617184,0.001909215601743367,,,,,0.0027274508596333816,,0.001314315088156666,,-0.0008912800106418668,,-0.0007701718987924411,,-0.000527254308620988,,,0.002061085024609317,,0.001960816023412107,0.003664151154861008,-0.00046746258290108214,,,,0.0009830649439870997,,,,,0.0005273665603170372
40,2025-11-30,3382,JP3422950000,27396101W,,-0.0007573089025704378,0.0015840653464246277,0.0015840653464246277,0.0015840653464246277,,0.0016340133528434224,,,,0.0028563068057577932,,,,,0.002037926765905841,,,,,,,,,,-0.002418339762208265,,0.0029733685600921295,0.001314315088156666,,,,0.0015177864616369864,,-0.000527254308620988,,,0.002061085024609317,,,0.003664151154861008,-0.00046746258290108214,,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,,,0.0005173755902528629
41,2025-11-30,3391,JP3536150000,27436701W,,-0.0007573089025704378,-0.001598021869300616,-0.0005366138525610055,-0.001598021869300616,,,,0.001314315088156666,,0.0028563068057577932,0.0028563068057577932,,,,,,,0.002418339762208265,,,,,,,-0.002418339762208265,,,-0.005109168511707602,,0.002609719167850646,,,,-0.000527254308620988,-0.0015703504949404318,,0.002061085024609317,,0.001960816023412107,,0.001832075577430504,0.002267193527070249,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,-4.2107793658799205e-05
42,2025-11-30,3402,JP3621000003,10072401W,,-0.0007573089025704378,,-0.0005366138525610055,,,,-0.0005512932588620666,,-0.004478406967052343,0.0028563068057577932,0.0028563068057577932,-0.0011589487678314368,,,-0.002049440476447682,,,,,-0.0019822457067280863,,,,,,-0.0008555447271963202,,0.001314315088156666,,,,0.0015177864616369864,,0.0015568710915503854,0.0007903071118327664,,,0.002812022979311936,,0.003664151154861008,-0.00046746258290108214,,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,,,0.0001543140986689752
43,2025-11-30,3407,JP3111200006,10025801W,,,,,,,,0.0016122265081388433,,,-0.002902007714649918,-0.002902007714649918,-0.0011589487678314368,,,-0.002049440476447682,0.002748113366145756,,,,-0.0019822457067280863,,,,,,-0.0008555447271963202,,0.001314315088156666,,,,0.0015177864616369864,,0.0015568710915503854,0.0007903071118327664,,,0.002812022979311936,,,-0.00046746258290108214,,,0.0018602613555448193,-0.001960816023412107,,,,,5.555619793695889e-05
44,2025-11-30,3626,JP3104890003,20918301W,,,,,,,-0.0008281985487014606,0.0016122265081388433,,,-0.002902007714649918,-0.002902007714649918,-0.0011589487678314368,,,,,0.0035218540226333956,0.002418339762208265,,-0.0019822457067280863,,,,,,,,,,-0.0008912800106418668,,,,-0.000527254308620988,,,,,-0.0019502740017808592,-0.001879538675291398,-0.00046746258290108214,,-0.0005632778949242853,,-0.001960816023412107,,,,,-0.0001818119676520338
45,2025-11-30,3659,JP3758190007,31130501W,,0.0014866842800460647,,,,,-0.0008281985487014606,0.0016122265081388433,-0.002628630176313332,,-0.002902007714649918,-0.002902007714649918,0.0033901959283293434,,,-0.002049440476447682,,,,,,,0.006595472078749814,0.007718105624068931,0.006595472078749814,,,-0.0029733685600921295,,,-0.0008912800106418668,,,,,0.0007903071118327664,,-0.00207286265332137,,,,-0.00046746258290108214,,,,,,,,,0.0003826984809722551
46,2025-11-30,388,HK0388045442,24063701W,,,0.0015840653464246277,,0.0015840653464246277,,-0.0008281985487014606,-0.0005512932588620666,,,,,,,,,0.002748113366145756,,,,,,,,,0.0024023242670943032,-0.0008555447271963202,,,,-0.0008912800106418668,,-0.0007701718987924411,,-0.000527254308620988,,,,,,,,,-0.0005632778949242853,-0.0006341800075720975,,,,-0.0007903071118327664,,-3.829027016170805e-06
47,2025-11-30,4,HK0004000045,01662101W,,,,,,,,,-0.002628630176313332,,,,,,0.002211896123970974,,,-0.0035563820032474486,-0.002434570230411005,,,,,,,,,0.0029733685600921295,,,,,-0.0007701718987924411,,,-0.0015703504949404318,,0.002061085024609317,,0.001960816023412107,0.003664151154861008,-0.00046746258290108214,,0.0016639952492258706,-0.0006341800075720975,0.0009830649439870997,,,0.001563581742807068,-0.0016950979641646717,0.00019684970029693163
48,2025-11-30,4063,JP3371200001,10069701W,,-0.0007573089025704378,-0.001598021869300616,-0.0005366138525610055,-0.001598021869300616,,-0.0008281985487014606,-0.0005512932588620666,0.001314315088156666,0.004423792247941948,-0.002902007714649918,-0.002902007714649918,0.0033901959283293434,,,-0.002049440476447682,,,,,,,0.006595472078749814,,0.006595472078749814,-0.002418339762208265,-0.0008555447271963202,,0.001314315088156666,,,,,,-0.000527254308620988,,,,,,,-0.00046746258290108214,,,,0.0009830649439870997,,,,,0.0001590868147707347
49,2025-11-30,4091,JP3711600001,10104401W,,-0.0007573089025704378,,-0.0005366138525610055,,,,-0.0005512932588620666,,,,,-0.0011589487678314368,,,,,,,,-0.0019822457067280863,,,,,-0.002418339762208265,-0.0008555447271963202,,0.001314315088156666,,,,,,-0.000527254308620988,0.0007903071118327664,,,,,,-0.00046746258290108214,,,0.0018602613555448193,,,,,,-0.0001275207829356968
50,2025-11-30,4151,JP3256000005,10051601W,,,,-0.0005366138525610055,,,,-0.0005512932588620666,-0.002628630176313332,,-0.002902007714649918,-0.002902007714649918,-0.0011589487678314368,,-0.002225466038841962,,,,,-0.001971472632234999,-0.0019822457067280863,,,,,,-0.0008555447271963202,,,,-0.0008912800106418668,,0.0015177864616369864,,-0.000527254308620988,0.0007903071118327664,,,,-0.0019502740017808592,,-0.00046746258290108214,-0.002281452605856854,-0.0005632778949242853,0.0018602613555448193,-0.001960816023412107,,,-0.0007903071118327664,-0.0016950979641646717,-0.00044629732934739486
51,2025-11-30,4188,JP3897700005,01904502W,,,-0.001598021869300616,-0.0005366138525610055,-0.001598021869300616,,0.0016340133528434224,-0.0005512932588620666,,,,,-0.0011589487678314368,,,,-0.0027690913307728223,,,,-0.0019822457067280863,,-0.006595472078749814,,,,-0.0008555447271963202,0.0029733685600921295,0.001314315088156666,,,,,,-0.000527254308620988,0.0007903071118327664,,,0.002812022979311936,,,0.001832075577430504,0.002267193527070249,0.0016639952492258706,0.0018602613555448193,0.0009830649439870997,,,0.001563581742807068,,0.00017531253509238338
52,2025-11-30,4204,JP3419400001,10064001W,,,-0.001598021869300616,-0.0005366138525610055,,,,-0.0005512932588620666,,,,,,,,,,,,,,-0.001909215601743367,,,,,,,,,,,,,-0.000527254308620988,,,,,,,-0.00046746258290108214,,,0.0018602613555448193,,,,,-0.0016950979641646717,-0.0001411849230917757
53,2025-11-30,4307,JP3762800005,24960401W,,,,-0.0005366138525610055,,,-0.0008281985487014606,-0.0005512932588620666,,,0.0028563068057577932,0.0028563068057577932,,,,,,,,,-0.0019822457067280863,,,,,,,,,,-0.0008912800106418668,,-0.0007701718987924411,,,0.0007903071118327664,,-0.00207286265332137,,-0.0019502740017808592,-0.001879538675291398,-0.00046746258290108214,,-0.0005632778949242853,,-0.001960816023412107,,,,,-0.0002082066527071861
54,2025-11-30,4452,JP3205800000,01871501W,,0.0014866842800460647,0.0015840653464246277,,0.0015840653464246277,,,,,,-0.002902007714649918,-0.002902007714649918,,,,-0.002049440476447682,,,,,,0.001909215601743367,,,,,,,0.001314315088156666,,-0.0008912800106418668,,,,0.0015568710915503854,,,,,,,-0.00046746258290108214,,-0.0005632778949242853,-0.0006341800075720975,,,,,-0.0016950979641646717,6.653875051336183e-05
