style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Size,Valuation,Valuation,Valuation,Volatility,MP
12,2026-02-28,1801,JP3443600006,10094901W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,,0.001173813393024386,,,,,,,0.0005796609348268573,,,,,,0.0014858397380055517,,0.0012355930452888273,,0.0008536824676540989,,,,,,,0.0016302963792005358,,0.0011396246534217337,0.0010671030845676235,0.0009947571127325303,-0.0014581532832601066,,-0.0010970218626396128,,,-0.0003056805711001005,0.001349210796579754,,,,,,0.0014228041127568314,-0.000586906696512193,,0.0002486824010568867
13,2026-02-28,1802,JP3190000004,10091901W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,-0.0010527474376900321,0.001173813393024386,,,,,,,0.0005796609348268573,,,,,,,,-0.0006310824693679495,,0.0008536824676540989,,,,,,,0.0016302963792005358,,0.0011396246534217337,0.0010671030845676235,0.0009947571127325303,,,,,,-0.0003056805711001005,0.001349210796579754,,-0.0003798748844739113,,,,0.0014228041127568314,-0.000586906696512193,,0.00019856750362428897
14,2026-02-28,1803,JP3358800005,10098201W,,-0.0005240238361716008,-0.0010387729141808724,-0.0010387729141808724,,,0.001173813393024386,,,,,,,0.0005796609348268573,,,,,,,,-0.0006310824693679495,,0.0008536824676540989,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,0.0009947571127325303,,,,,,-0.0003056805711001005,0.001349210796579754,0.0010919194353715218,,,,,0.0014228041127568314,-0.000586906696512193,,8.350559554411625e-05
15,2026-02-28,1812,JP3210200006,01870901W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,0.001173813393024386,,,,,,,0.0005796609348268573,,,,,,,,-0.0006310824693679495,,0.0008536824676540989,,,,,,,,,,-0.0003595140560564735,0.0009947571127325303,-0.0014581532832601066,,-0.0010970218626396128,-0.0012758841228525932,,-0.0003056805711001005,0.001349210796579754,-0.0010970218626396128,-0.0003798748844739113,,,,0.0014228041127568314,-0.000586906696512193,,0.0001192505892219004
16,2026-02-28,1878,JP3486800000,20154301W,,,,,,,,0.0009543198317271431,-0.0019401874264865884,-0.001893247408103848,,0.0015650845240325147,,,,,0.001282856167239766,,,0.0014858397380055517,,,,,,,,-0.001956355655040643,,,,,,,0.0009947571127325303,-0.0014581532832601066,-0.002347626786048772,-0.0010970218626396128,-0.0012758841228525932,,-0.0003056805711001005,0.001349210796579754,-0.0010970218626396128,-0.0003798748844739113,,-0.0009390507144195088,,0.0014228041127568314,0.0011621914782419663,,-0.0001023392502358432
17,2026-02-28,19,HK0019000162,10056201W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,-0.0003999364201105233,,,,,,,0.0005796609348268573,,,-0.001282856167239766,,,-0.0014858397380055517,,-0.0006310824693679495,,,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,0.0009947571127325303,,,0.0010919194353715218,0.001268987451918255,,-0.0003056805711001005,-0.0006844392962241317,0.0010919194353715218,,,0.0009390507144195088,,0.0014228041127568314,-0.000586906696512193,-0.0011073711254947036,0.00012848936529282103
18,2026-02-28,1925,JP3505000004,01783001W,,,,,,,,0.0009543198317271431,0.0009504561886837133,0.0018631958619434695,,0.0015650845240325147,,,,,0.001282856167239766,,,0.0014858397380055517,,,,,,,,,,,,,,,0.0009947571127325303,0.001449152337067143,0.0023243829564839327,0.0010919194353715218,0.001268987451918255,,0.0012039111723327034,0.001349210796579754,0.0010919194353715218,,,0.0009390507144195088,,0.0014228041127568314,-0.000586906696512193,,0.00032889089752732
19,2026-02-28,1928,JP3420600003,10092601W,,-0.0005240238361716008,,,,,,-0.0018781014288390175,0.0009504561886837133,,-0.0008475186953244664,-0.0005359878506960666,-0.0028629594951814293,,,,,-0.0006293905592624053,-0.0008475186953244664,,-0.0008505894152350623,-0.0006310824693679495,-0.0007476518426906916,,-0.0008536824676540989,-0.0005576310655697796,-0.0016889401338480374,-0.001956355655040643,,,-0.0008237286968592181,,,,0.0009947571127325303,,-0.002347626786048772,0.0010919194353715218,,-0.0014953036853813833,-0.0003056805711001005,,,,,,,0.0014228041127568314,-0.000586906696512193,,-0.0004016171890154465
20,2026-02-28,1928,KYG7800X1079,29342501W,,-0.0005240238361716008,,,,,0.001173813393024386,0.0009543198317271431,,,-0.0008475186953244664,,0.0027947937929152043,,0.001268987451918255,,0.001282856167239766,,-0.0008475186953244664,,,,,,0.0016889401338480374,0.0017651329218411817,0.0016889401338480374,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,-0.0014581532832601066,0.0023243829564839327,,-0.0012758841228525932,,0.0012039111723327034,,-0.0010970218626396128,-0.0003798748844739113,,,,,,0.0010970218626396128,0.0002989623254924834
21,2026-02-28,1997,KYG9593A1040,32596601W,,,,,,,,-0.0018781014288390175,,,,-0.0005359878506960666,,,,,-0.001282856167239766,,,-0.0014858397380055517,,,,,,,,0.001956355655040643,,,,,,,-0.0005037825721134703,,-0.002347626786048772,,,,-0.0003056805711001005,-0.0006844392962241317,,-0.0003798748844739113,,,,,,-0.0011073711254947036,-4.0417421384041724e-05
22,2026-02-28,1CNHI,NL0010545661,29578601W,,,,,,,,,,,,,,0.0005796609348268573,,,,,,,,-0.0006310824693679495,,-0.002524329877471798,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,0.001449152337067143,,0.0010919194353715218,0.001268987451918255,,0.0012039111723327034,-0.0006844392962241317,0.0010919194353715218,0.0014764948339929384,,,,0.0014228041127568314,0.0011621914782419663,0.0010970218626396128,0.00018410414537737204
23,2026-02-28,2,HK0002007356,10066501W,,,,,,-0.0010527474376900321,-0.0003999364201105233,,,,,0.0015650845240325147,,0.0005796609348268573,,,,0.0018485250283848597,,,,,,0.0008536824676540989,,,,,,,-0.0008237286968592181,,0.0011396246534217337,,-0.0005037825721134703,,,,,,,-0.0006844392962241317,,,,,,,,-0.0011073711254947036,4.967840248440585e-06
24,2026-02-28,2388,HK2388011192,03164801W,,-0.0005240238361716008,,,,-0.0010527474376900321,0.001173813393024386,,,,,,,0.0005796609348268573,,,,,,,,0.0012355930452888273,,,0.0016889401338480374,0.0017651329218411817,0.0016889401338480374,,,,,,,-0.0003595140560564735,,,,,,,,-0.0006844392962241317,,,,,,,,,0.00015715428086429868
25,2026-02-28,2413,JP3435750009,27093901W,,,,,,,,,-0.0019401874264865884,-0.001893247408103848,-0.0008475186953244664,-0.0005359878506960666,,,,,,-0.0006293905592624053,-0.0008475186953244664,,-0.0008505894152350623,,-0.0007476518426906916,,,-0.0005576310655697796,,,,,,,-0.00039257973010849026,-0.0003595140560564735,,,,-0.0010970218626396128,-0.0012758841228525932,,-0.0003056805711001005,,-0.0010970218626396128,-0.0003798748844739113,,-0.0009390507144195088,,,,,-0.00023384073984943074
26,2026-02-28,2502,JP3116000005,10295001W,,-0.0005240238361716008,-0.0010387729141808724,-0.0010387729141808724,,0.0010387729141808724,,,0.0009504561886837133,0.0018631958619434695,,-0.0005359878506960666,,0.0005796609348268573,,,-0.001282856167239766,-0.0006293905592624053,,-0.0014858397380055517,,,,0.0008536824676540989,0.0016889401338480374,,-0.0016889401338480374,,,,,,0.0011396246534217337,0.0010671030845676235,,,,0.0010919194353715218,,,-0.0003056805711001005,0.001349210796579754,,,,,,0.0014228041127568314,0.0011621914782419663,,0.00014456125114053326
27,2026-02-28,2503,JP3258000003,01872901W,,-0.0005240238361716008,,,,0.0010387729141808724,,-0.0018781014288390175,-0.0019401874264865884,-0.001893247408103848,,-0.0005359878506960666,,-0.0017011788304701245,-0.0012899048274993253,,,-0.0006293905592624053,,,,,,-0.002524329877471798,-0.0008536824676540989,,-0.0016889401338480374,0.001956355655040643,,,,,-0.00039257973010849026,-0.0003595140560564735,0.0009947571127325303,,,0.0010919194353715218,,-0.0014953036853813833,-0.0003056805711001005,0.001349210796579754,,,,,,,-0.000586906696512193,,-0.0002060958175012358
28,2026-02-28,2587,JP3336560002,31564801W,,-0.0005240238361716008,-0.0010387729141808724,-0.0010387729141808724,,-0.0010527474376900321,,,0.0009504561886837133,0.0018631958619434695,,-0.0005359878506960666,,-0.0017011788304701245,-0.0012899048274993253,,,-0.0006293905592624053,,,,,,-0.002524329877471798,-0.0008536824676540989,,,,,,,,,,,0.001449152337067143,,0.0010919194353715218,,,-0.0003056805711001005,0.001349210796579754,,,,,,,,-0.0011073711254947036,-0.0002739088043942953
29,2026-02-28,27,HK0027032686,10711401W,,0.0010341968220479172,,,,,-0.0003999364201105233,,,-0.001893247408103848,,-0.0005359878506960666,0.0027947937929152043,,,,-0.001282856167239766,-0.0006293905592624053,,,,,,,0.0016889401338480374,0.0017651329218411817,,,,,,,-0.00039257973010849026,,,,0.0023243829564839327,,,,0.0012039111723327034,,,-0.0003798748844739113,,,,-0.0014228041127568314,,-0.0011073711254947036,0.00011129664397341706
30,2026-02-28,2801,JP3240400006,10193201W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,,,,-0.0019401874264865884,-0.001893247408103848,,,,-0.0017011788304701245,,,,,,,,-0.0006310824693679495,,-0.002524329877471798,-0.0008536824676540989,,-0.0016889401338480374,-0.001956355655040643,,,,,,,,,,,-0.0012758841228525932,,-0.0003056805711001005,,-0.0010970218626396128,,,-0.0009390507144195088,,-0.0014228041127568314,-0.000586906696512193,-0.0011073711254947036,-0.00044188233964641965
31,2026-02-28,2802,JP3119600009,10025301W,,-0.0005240238361716008,-0.0010387729141808724,-0.0010387729141808724,,0.0010387729141808724,,0.0009543198317271431,0.0009504561886837133,0.0018631958619434695,,,,-0.0017011788304701245,,,,-0.0006293905592624053,,,,0.0012355930452888273,,-0.002524329877471798,-0.0008536824676540989,,,,,,,,-0.00039257973010849026,-0.0003595140560564735,,0.001449152337067143,,,,,-0.0003056805711001005,,,,,-0.0009390507144195088,,,,,-0.0001321556060678673
32,2026-02-28,285A,JP3236330001,33964401W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,0.001173813393024386,0.0009543198317271431,,,-0.0008475186953244664,0.0015650845240325147,,,,,0.001282856167239766,0.0018485250283848597,-0.0008475186953244664,,-0.0008505894152350623,0.0012355930452888273,,,,,,,,,,,0.0011396246534217337,,0.0009947571127325303,,,,,,,,,,,,,,,0.0010970218626396128,0.00023285925598389288
33,2026-02-28,288,KYG960071028,31747801W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,,,0.0009543198317271431,0.0009504561886837133,0.0018631958619434695,,0.0015650845240325147,,0.0005796609348268573,0.001268987451918255,,,,,,,0.0012355930452888273,,0.0008536824676540989,-0.0008536824676540989,,-0.0016889401338480374,,,,,,0.0011396246534217337,0.0010671030845676235,0.0009947571127325303,,0.0023243829564839327,0.0010919194353715218,,0.0014858397380055517,0.0012039111723327034,-0.0006844392962241317,,,,,,,0.0011621914782419663,-0.0011073711254947036,0.0003503577171180761
34,2026-02-28,2914,JP3726800000,22352801W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,,,-0.0019401874264865884,-0.001893247408103848,,-0.0005359878506960666,,0.0005796609348268573,-0.0012899048274993253,,-0.001282856167239766,-0.0006293905592624053,,-0.0014858397380055517,,-0.0006310824693679495,,,-0.0008536824676540989,,-0.0016889401338480374,0.001956355655040643,,,,,-0.00039257973010849026,-0.0003595140560564735,,,,,,,-0.0003056805711001005,,,,,,,,-0.000586906696512193,,-5.432081228304458e-05
35,2026-02-28,3,HK0003000038,01852602W,,,,,,-0.0010527474376900321,-0.0003999364201105233,,,,,-0.0005359878506960666,,0.0005796609348268573,,,,-0.0006293905592624053,,,,,,0.0008536824676540989,,,,,,,,,-0.00039257973010849026,,-0.0005037825721134703,,,,,,,-0.0006844392962241317,,,,-0.0009390507144195088,,,,,-7.137207536555903e-05
36,2026-02-28,3003,JP3360800001,20801901W,,,,,,,,0.0009543198317271431,0.0009504561886837133,0.0018631958619434695,,,,,0.001268987451918255,,0.001282856167239766,,,0.0014858397380055517,,,,,,,,0.001956355655040643,,,,,,,0.0009947571127325303,0.001449152337067143,0.0023243829564839327,0.0010919194353715218,-0.0012758841228525932,,-0.0003056805711001005,0.001349210796579754,-0.0010970218626396128,,,,,0.0014228041127568314,-0.000586906696512193,0.0010970218626396128,0.0003611769296911989
37,2026-02-28,3064,JP3922950005,28172601W,,,0.0010341968220479172,0.0010341968220479172,,,-0.0003999364201105233,,,,,,,0.0005796609348268573,,,,,,0.0014858397380055517,,,,0.0008536824676540989,,,,,,,,,-0.00039257973010849026,-0.0003595140560564735,,-0.0014581532832601066,,,,,-0.0003056805711001005,,,-0.0003798748844739113,,-0.0009390507144195088,,-0.0014228041127568314,-0.000586906696512193,-0.0011073711254947036,-6.827824651280507e-05
38,2026-02-28,3088,JP3869010003,22119201W,,-0.0005240238361716008,,,,,,,-0.0019401874264865884,-0.001893247408103848,,,,0.0005796609348268573,,,,-0.0006293905592624053,,,,,,0.0008536824676540989,-0.0008536824676540989,,-0.0016889401338480374,,,,,,,,,0.001449152337067143,0.0023243829564839327,0.0010919194353715218,0.001268987451918255,0.0014858397380055517,0.0012039111723327034,0.001349210796579754,0.0010919194353715218,,,-0.0009390507144195088,,,0.0011621914782419663,-0.0011073711254947036,0.00013182257053701227
39,2026-02-28,3092,JP3399310006,28762201W,,-0.0005240238361716008,,,,,-0.0003999364201105233,0.0009543198317271431,0.0009504561886837133,0.0018631958619434695,0.002497475304307204,0.0015650845240325147,0.0027947937929152043,,-0.0012899048274993253,,,0.0018485250283848597,0.002497475304307204,,0.002497475304307204,,0.0021940437252792257,,-0.0008536824676540989,0.0017651329218411817,,,,,,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,0.001449152337067143,,,0.001268987451918255,,-0.0003056805711001005,,,0.0014764948339929384,,-0.0009390507144195088,,-0.0014228041127568314,,,0.00023652760075651845
40,2026-02-28,3382,JP3422950000,27396101W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,,,0.0009504561886837133,,,-0.0005359878506960666,,0.0005796609348268573,,,,-0.0006293905592624053,,,,,,,0.0016889401338480374,,-0.0016889401338480374,0.001956355655040643,,,,,-0.00039257973010849026,-0.0003595140560564735,0.0009947571127325303,0.001449152337067143,,0.0010919194353715218,,,-0.0003056805711001005,0.001349210796579754,0.0010919194353715218,,,0.0009390507144195088,,0.0014228041127568314,,,0.0003584073252793069
41,2026-02-28,3391,JP3536150000,27436701W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,0.0010387729141808724,,0.0009543198317271431,0.0009504561886837133,0.0018631958619434695,,-0.0005359878506960666,,,0.001268987451918255,,,-0.0006293905592624053,,0.0014858397380055517,,,,0.0008536824676540989,,,,0.001956355655040643,,,,,-0.00039257973010849026,-0.0003595140560564735,,0.001449152337067143,-0.002347626786048772,0.0010919194353715218,0.001268987451918255,-0.0014953036853813833,-0.0003056805711001005,,0.0010919194353715218,,,-0.0009390507144195088,,,0.0011621914782419663,,0.00036130402744748277
42,2026-02-28,3402,JP3621000003,10072401W,,,,,,,-0.0003999364201105233,,0.0009504561886837133,0.0018631958619434695,-0.0008475186953244664,-0.0005359878506960666,-0.0028629594951814293,,-0.0012899048274993253,,,-0.0006293905592624053,-0.0008475186953244664,,-0.0008505894152350623,,-0.0007476518426906916,,-0.0008536824676540989,-0.0005576310655697796,,,,,0.0016302963792005358,,0.0011396246534217337,0.0010671030845676235,0.0009947571127325303,,,0.0010919194353715218,,,-0.0003056805711001005,,,0.0014764948339929384,,,,,,,-0.00016701217050088456
43,2026-02-28,3407,JP3111200006,10025801W,,,,0.0010341968220479172,,,0.001173813393024386,,-0.0019401874264865884,-0.001893247408103848,-0.0008475186953244664,-0.0005359878506960666,-0.0028629594951814293,,,,,-0.0006293905592624053,-0.0008475186953244664,,-0.0008505894152350623,,-0.0007476518426906916,,-0.0008536824676540989,-0.0005576310655697796,-0.0016889401338480374,,,,0.0016302963792005358,,0.0011396246534217337,0.0010671030845676235,0.0009947571127325303,,,,,,-0.0003056805711001005,,-0.0010970218626396128,-0.0003798748844739113,,,,,,,-0.0001963762260448419
44,2026-02-28,3626,JP3104890003,20918301W,,,,,,,0.001173813393024386,,-0.0019401874264865884,-0.001893247408103848,-0.0008475186953244664,-0.0005359878506960666,,,-0.0012899048274993253,,,,-0.0008475186953244664,0.0014858397380055517,-0.0008505894152350623,-0.0006310824693679495,-0.0007476518426906916,,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,,,,,-0.0012758841228525932,,-0.0003056805711001005,,-0.0010970218626396128,-0.0003798748844739113,,-0.0009390507144195088,,,,,-0.00024405663005616646
45,2026-02-28,3659,JP3758190007,31130501W,,0.0010341968220479172,0.0010341968220479172,0.0010341968220479172,,-0.0010527474376900321,0.001173813393024386,,-0.0019401874264865884,-0.001893247408103848,,-0.0005359878506960666,,,,,,,,,,,0.0021940437252792257,,-0.0008536824676540989,,,-0.001956355655040643,,,,,,,,,,,,,-0.0003056805711001005,,,,,,,,,,-6.410676036375963e-05
46,2026-02-28,388,HK0388045442,24063701W,,,0.0010341968220479172,,,,-0.0003999364201105233,,,,,,,,,,,,,,,,,,,-0.0005576310655697796,,,,,,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,,,,,,,-0.0006844392962241317,,,,,,,-0.000586906696512193,,-5.886600747265543e-05
47,2026-02-28,4,HK0004000045,01662101W,,,,,,,,,,,,-0.0005359878506960666,,,,,,,,-0.0014858397380055517,,,,,,,,0.001956355655040643,,,,,,,-0.0005037825721134703,0.001449152337067143,-0.002347626786048772,0.0010919194353715218,0.001268987451918255,,-0.0003056805711001005,-0.0006844392962241317,0.0010919194353715218,0.0014764948339929384,,,,,0.0011621914782419663,-0.0011073711254947036,0.00014761340374132764
48,2026-02-28,4062,JP3148800000,10262001W,,-0.0005240238361716008,-0.0010387729141808724,-0.0010387729141808724,,0.0010387729141808724,-0.0003999364201105233,,-0.0019401874264865884,-0.001893247408103848,-0.0008475186953244664,-0.0005359878506960666,,,,,,-0.0006293905592624053,-0.0008475186953244664,-0.0014858397380055517,-0.0008505894152350623,,-0.0007476518426906916,,,,,,,,-0.0008237286968592181,,-0.00039257973010849026,-0.0003595140560564735,-0.0005037825721134703,,,0.0010919194353715218,,-0.0014953036853813833,0.0012039111723327034,,0.0010919194353715218,0.0014764948339929384,,,,,,,-0.00010495540889916018
