style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
23,2026-07-31,000568 CH Equity,CNE000000GF2,24376701W,,,,,,,,,,,,-0.02564102564102564,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,-0.017241379310344827,-0.027777777777777776,,-0.02564102564102564,,,,0.0064516129032258064,,-0.003725565750478214
24,2026-07-31,000596 CH Equity,CNE000000MD5,24373702W,-0.010526315789473684,,-0.010638297872340425,,-0.014705882352941176,-0.016666666666666666,,,,,,-0.02564102564102564,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,-0.017241379310344827,-0.027777777777777776,,,,,,,,-0.004785880463991305
25,2026-07-31,000617 CH Equity,CNE000000MS3,27233101W,,,,,,-0.016666666666666666,,,,,-0.017241379310344827,,,,,0.00423728813559322,,-0.013513513513513514,,,,,,,,,,0.0024752475247524753,-0.0010055130901659912
26,2026-07-31,000625 CH Equity,CNE000000R36,24206101W,-0.010526315789473684,-0.01,,-0.010309278350515464,-0.014705882352941176,,0.014285714285714285,,,,0.01694915254237288,0.024390243902439025,,,,0.00423728813559322,0.0625,0.0045871559633027525,,-0.017241379310344827,,,,,,-0.02040816326530612,-0.01282051282051282,0.0024752475247524753,-0.0002887252883199354
27,2026-07-31,000629 CH Equity,CNE0000007H2,25134401W,,0.009900990099009901,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024752475247524753,0.00045615988944564174
28,2026-07-31,000630 CH Equity,CNE000000529,27103901W,0.010101010101010102,,,0.01020408163265306,-0.014705882352941176,,,0.015873015873015872,0.014925373134328358,-0.02040816326530612,,,,,,,,,,,,,,,,,,0.0024752475247524753,-0.00010635584769171525
29,2026-07-31,000651 CH Equity,CNE0000001D4,25998001W,,,,,-0.014705882352941176,,0.014285714285714285,,,,,0.024390243902439025,-0.013157894736842105,,0.011627906976744186,,,,,,,,,0.017857142857142856,,,0.0064516129032258064,-0.00980392156862745,0.0010893503779434788
30,2026-07-31,000657 CH Equity,CNE0000006M4,27223901W,,0.009900990099009901,0.010869565217391304,,-0.014705882352941176,,,,,,,,,0.011627906976744186,0.011627906976744186,,,,,,,,,,,,,0.0024752475247524753,0.0003109932623585559
31,2026-07-31,000661 CH Equity,CNE0000007J8,27213001W,-0.010526315789473684,-0.01,,-0.010309278350515464,-0.014705882352941176,,,,,,,-0.02564102564102564,,,,,,,-0.02127659574468085,0.008771929824561403,,,,,,,,0.0024752475247524753,-0.002383602697892242
32,2026-07-31,000688 CH Equity,CNE0000003F5,25996701W,,,,,,,,,,0.021739130434782608,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,,,,0.0024752475247524753,0.0010600880191910804
33,2026-07-31,000708 CH Equity,CNE0000008J6,25997201W,,,,,,,,0.015873015873015872,0.014925373134328358,,,,,0.011627906976744186,,,,,,,,,,,,,,0.0024752475247524753,0.0018852196698408731
34,2026-07-31,000725 CH Equity,CNE0000016L5,24205802W,,-0.01,,-0.010309278350515464,,0.008264462809917356,-0.014285714285714285,,0.014925373134328358,,,,,,,0.00423728813559322,,0.0045871559633027525,,,,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,-0.00011009134338181769
35,2026-07-31,000728 CH Equity,CNE000000QZ9,27200801W,-0.010526315789473684,-0.01,,-0.010309278350515464,,,,,,,-0.017241379310344827,,,,,-0.012658227848101266,,,,0.008771929824561403,0.014084507042253521,,,,,,,0.0024752475247524753,-0.0005755531581890265
36,2026-07-31,000729 CH Equity,CNE000000S84,25130601W,0.010101010101010102,0.009900990099009901,0.010869565217391304,0.01020408163265306,0.014492753623188406,0.008264462809917356,,,,,,-0.02564102564102564,,,,,,,-0.02127659574468085,,0.014084507042253521,,0.01282051282051282,,,,0.0064516129032258064,,0.003014106907840079
37,2026-07-31,000733 CH Equity,CNE000000RY0,24375901W,,,,,,-0.016666666666666666,0.014285714285714285,,,,,,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,,,,-0.02564102564102564,-0.017857142857142856,,,0.0064516129032258064,-0.00980392156862745,-0.0037768687174596083
38,2026-07-31,000738 CH Equity,CNE000000RM5,27196001W,-0.010526315789473684,,,,0.014492753623188406,,0.014285714285714285,,,,-0.017241379310344827,,-0.013157894736842105,,0.011627906976744186,-0.012658227848101266,,-0.013513513513513514,-0.02127659574468085,-0.017241379310344827,,,,,,,-0.01282051282051282,0.0024752475247524753,-0.0010047379220126673
39,2026-07-31,000750 CH Equity,CNE0000008K4,27196601W,,,,,,,,,,,0.01694915254237288,,0.012987012987012988,,,0.00423728813559322,,,,0.008771929824561403,,,,,,,,0.0024752475247524753,0.0009685862709873557
40,2026-07-31,000768 CH Equity,CNE000000RF9,27104601W,,,,,,,,,,,-0.017241379310344827,,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,-0.017241379310344827,0.014084507042253521,,,,,-0.02040816326530612,-0.01282051282051282,0.0024752475247524753,-0.00029495061545833863
41,2026-07-31,000776 CH Equity,CNE0000008L2,27199901W,0.010101010101010102,0.009900990099009901,,0.01020408163265306,-0.014705882352941176,,,,,,0.01694915254237288,,,,,,,,,-0.017241379310344827,,,,,,,,0.0024752475247524753,-0.0002837425737570415
42,2026-07-31,000783 CH Equity,CNE000000SH3,25137601W,,,,,-0.014705882352941176,,,,,,0.01694915254237288,0.024390243902439025,0.012987012987012988,,,0.00423728813559322,,,,,,,,,,,,0.0024752475247524753,6.52823492644159e-05
43,2026-07-31,000786 CH Equity,CNE000000QS4,25983101W,,0.009900990099009901,,0.01020408163265306,,,0.014285714285714285,,,,,,,,,,,,0.01098901098901099,,0.014084507042253521,,,,,,0.0064516129032258064,0.0024752475247524753,0.002533013620678602
44,2026-07-31,000792 CH Equity,CNE000000SW2,26009701W,-0.010526315789473684,-0.01,-0.010638297872340425,-0.010309278350515464,,,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,,,,0.0024752475247524753,-0.0015560888008261207
45,2026-07-31,000807 CH Equity,CNE000000VG9,26026901W,0.010101010101010102,,,0.01020408163265306,0.014492753623188406,,,-0.016129032258064516,-0.015151515151515152,,,,,,,,,,,,,,,,,,,0.0024752475247524753,5.737171621411025e-05
46,2026-07-31,000830 CH Equity,CNE000000WN3,27202401W,,,,,,,,,,0.021739130434782608,,,,,,,,,,,,,,,,,,-0.00980392156862745,0.0008851675396661845
47,2026-07-31,000831 CH Equity,CNE000000WS2,26016801W,,,,,,,,-0.016129032258064516,,,,,,-0.011627906976744186,,,,,,,,,,,,,,0.0024752475247524753,-0.0008834947084223808
48,2026-07-31,000858 CH Equity,CNE000000VQ8,24368301W,-0.010526315789473684,,-0.010638297872340425,-0.010309278350515464,-0.014705882352941176,-0.016666666666666666,,,,,,,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,0.008771929824561403,,,0.01282051282051282,,,,,,-0.002459257651316259
49,2026-07-31,000876 CH Equity,CNE000000VB0,25955001W,-0.010526315789473684,-0.01,-0.010638297872340425,-0.010309278350515464,0.014492753623188406,0.008264462809917356,,,,0.021739130434782608,,0.024390243902439025,,,,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,0.008771929824561403,,,0.01282051282051282,,,,0.0064516129032258064,,0.0036057644059299307
50,2026-07-31,000878 CH Equity,CNE000000W13,26027101W,,,,,,,,,,-0.02040816326530612,,,,0.011627906976744186,,,,,,,,,,,,,,0.0024752475247524753,-0.0009625964845700763
51,2026-07-31,000893 CH Equity,CNE000000XS0,27206301W,0.010101010101010102,,-0.010638297872340425,,,,,0.015873015873015872,0.014925373134328358,,,,,-0.011627906976744186,,,,,,,,,,,,,,0.0024752475247524753,0.0012439156201968977
52,2026-07-31,000895 CH Equity,CNE000000XM3,26000401W,0.010101010101010102,0.009900990099009901,0.010869565217391304,0.01020408163265306,0.014492753623188406,0.008264462809917356,,0.015873015873015872,0.014925373134328358,,,0.024390243902439025,0.012987012987012988,,,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,,0.014084507042253521,,,,,,0.0064516129032258064,,0.00588191035490137
53,2026-07-31,000932 CH Equity,CNE000001006,25133201W,0.010101010101010102,-0.01,,-0.010309278350515464,,,,,,0.021739130434782608,,,,,,,,,,,,,,,,,,0.0024752475247524753,0.000988421474578712
54,2026-07-31,000933 CH Equity,CNE000001097,26000301W,0.010101010101010102,,0.010869565217391304,,,,,-0.016129032258064516,-0.015151515151515152,0.021739130434782608,,,,,-0.011627906976744186,,,,,,,,,,,,,0.0024752475247524753,0.00024329780753055562
55,2026-07-31,000938 CH Equity,CNE0000010T1,26022301W,,,,,,0.008264462809917356,-0.014285714285714285,,,,,,0.012987012987012988,,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,,,,,,0.0024752475247524753,0.0005051636013275107
56,2026-07-31,000960 CH Equity,CNE0000011D3,27024101W,,0.009900990099009901,0.010869565217391304,0.01020408163265306,,,,0.015873015873015872,0.014925373134328358,,,,,,,,,,,,,,,,,,,0.0024752475247524753,0.00271712017283575
57,2026-07-31,000963 CH Equity,CNE0000011S1,26000801W,,,,,,,,,,,0.01694915254237288,,,0.011627906976744186,0.011627906976744186,,,,0.01098901098901099,,,,,,,-0.02040816326530612,0.0064516129032258064,0.0024752475247524753,0.0009511820275444295
58,2026-07-31,000975 CH Equity,CNE0000012L4,27115501W,0.010101010101010102,,,-0.010309278350515464,,,,-0.016129032258064516,-0.015151515151515152,,,,,,,,,,,,,,,,,,,0.0024752475247524753,-0.0016396552770771887
59,2026-07-31,000977 CH Equity,CNE0000012M2,27213901W,,,-0.010638297872340425,,,0.008264462809917356,,0.015873015873015872,,,,,0.012987012987012988,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,,,,-0.02040816326530612,-0.01282051282051282,0.0024752475247524753,0.0007102618657009715
60,2026-07-31,000981 CH Equity,CNE000001352,27215701W,,,,,,,,,,,-0.017241379310344827,0.024390243902439025,-0.013157894736842105,-0.011627906976744186,-0.011627906976744186,,0.0625,0.0045871559633027525,,-0.017241379310344827,,,,-0.017857142857142856,,,-0.01282051282051282,0.0024752475247524753,-0.0011781974254317625
61,2026-07-31,000983 CH Equity,CNE0000013Y5,25137101W,-0.010526315789473684,0.009900990099009901,-0.010638297872340425,0.01020408163265306,-0.014705882352941176,,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,-0.1,-0.02564102564102564,,,,,0.0024752475247524753,-0.007232019981358095
62,2026-07-31,000988 CH Equity,CNE000001303,25900801W,,,,,,-0.016666666666666666,,,,,,,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,,,,,0.0024752475247524753,0.0008619496663351494
63,2026-07-31,000999 CH Equity,CNE0000011K8,25135901W,0.010101010101010102,,,,,,,,,,0.01694915254237288,,,0.011627906976744186,0.011627906976744186,,,,0.01098901098901099,0.008771929824561403,,,,,,,0.0064516129032258064,0.0024752475247524753,0.0018595898292271935
64,2026-07-31,001203 CH Equity,CNE100004JY8,34746201W,,-0.01,,,,,,,,-0.02040816326530612,,,,,,,,,,,,,,,,,,0.0024752475247524753,-0.0015137260673570333
65,2026-07-31,001309 CH Equity,CNE100005GP9,35376601W,,,,,,0.008264462809917356,,,,,,,0.012987012987012988,-0.011627906976744186,-0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,0.017857142857142856,,-0.02040816326530612,-0.01282051282051282,0.0024752475247524753,0.001318998449051776
66,2026-07-31,001389 CH Equity,CNE100006HM2,36087201W,,0.009900990099009901,0.010869565217391304,0.01020408163265306,,,,-0.016129032258064516,-0.015151515151515152,,,,,,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,0.017857142857142856,,,,,0.001937353097479905
67,2026-07-31,001965 CH Equity,CNE1000032B1,32631201W,,,,,-0.014705882352941176,,,,,,,,-0.013157894736842105,,0.011627906976744186,-0.012658227848101266,,-0.013513513513513514,-0.02127659574468085,,0.014084507042253521,,,-0.017857142857142856,,,,-0.00980392156862745,-0.0035591260419744067
68,2026-07-31,002001 CH Equity,CNE000001J84,27070401W,0.010101010101010102,0.009900990099009901,,0.01020408163265306,,,,-0.016129032258064516,-0.015151515151515152,-0.02040816326530612,,,,,,,,,,,,,,,,,,-0.00980392156862745,-0.0025386797171911887
69,2026-07-31,002007 CH Equity,CNE000001JN8,27076001W,,,-0.010638297872340425,,0.014492753623188406,-0.016666666666666666,0.014285714285714285,,,,,0.024390243902439025,,,,,,,0.01098901098901099,-0.017241379310344827,,,,,,-0.02040816326530612,,0.0024752475247524753,0.0003741874824203248
70,2026-07-31,002008 CH Equity,CNE000001JQ1,27069601W,0.010101010101010102,0.009900990099009901,0.010869565217391304,0.01020408163265306,-0.014705882352941176,,,,,,0.01694915254237288,,,,,,,,0.01098901098901099,,,,,0.017857142857142856,,,,0.0024752475247524753,0.0021651107077405433
71,2026-07-31,002027 CH Equity,CNE000001KK2,27088901W,,,,,,,,,,,-0.017241379310344827,,,,,,,,,,,,,,0.05,,0.0064516129032258064,-0.00980392156862745,0.00048536278907286546
72,2026-07-31,002028 CH Equity,CNE000001KM8,27088301W,,,,,,,0.014285714285714285,,,,,,0.012987012987012988,,,0.00423728813559322,,0.0045871559633027525,0.01098901098901099,,,,,,,0.017857142857142856,,0.0024752475247524753,0.0019863486583318792
73,2026-07-31,002049 CH Equity,CNE000001M14,27334601W,,,,-0.010309278350515464,,-0.016666666666666666,,-0.016129032258064516,-0.015151515151515152,,,,,,,-0.012658227848101266,,-0.013513513513513514,,,,,-0.02564102564102564,-0.017857142857142856,,,,0.0024752475247524753,-0.005785382027009629
74,2026-07-31,002050 CH Equity,CNE000001M22,27311401W,,,,,0.014492753623188406,,0.014285714285714285,,,-0.02040816326530612,,,,,,,,,,,0.014084507042253521,,,,,,,0.0024752475247524753,0.0008800857372488306
75,2026-07-31,002056 CH Equity,CNE000001N70,27823101W,,,,,,0.008264462809917356,,,,,,,0.012987012987012988,,,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,0.017857142857142856,,,0.0064516129032258064,-0.00980392156862745,0.002558153729399315
76,2026-07-31,002064 CH Equity,CNE000001NK6,27844801W,,,,,0.014492753623188406,,,,,,,,,-0.011627906976744186,-0.011627906976744186,,,,,,,,,,,,,0.0024752475247524753,0.0006233472479927747
77,2026-07-31,002074 CH Equity,CNE000001NY7,27918201W,,-0.01,-0.010638297872340425,,0.014492753623188406,,-0.014285714285714285,,,-0.02040816326530612,,,-0.013157894736842105,,,,,0.0045871559633027525,-0.02127659574468085,0.008771929824561403,-0.027777777777777776,,,,,0.017857142857142856,,0.0024752475247524753,-0.0024538996161914805
78,2026-07-31,002078 CH Equity,CNE000001P52,27939301W,-0.010526315789473684,,-0.010638297872340425,-0.010309278350515464,,,,,,,,,,0.011627906976744186,0.011627906976744186,,,,,,,,,,,,,-0.00980392156862745,-0.0009317135759079349
79,2026-07-31,002080 CH Equity,CNE000001P78,27944101W,,,0.010869565217391304,,-0.014705882352941176,,,,,,,,,,,,,,,,,,,,,,,0.0024752475247524753,-0.000485040571686621
80,2026-07-31,002085 CH Equity,CNE000001PF1,27964001W,,,0.010869565217391304,,,,,0.015873015873015872,0.014925373134328358,,-0.017241379310344827,,,,,0.00423728813559322,-0.06666666666666667,0.0045871559633027525,,,,,,,,,,0.0024752475247524753,0.0003161900801802442
81,2026-07-31,002128 CH Equity,CNE100000098,28433601W,0.010101010101010102,0.009900990099009901,,0.01020408163265306,,,,,,,,,,,,,,,,,,0.09090909090909091,0.01282051282051282,,,0.017857142857142856,,0.0024752475247524753,0.0063662262870214726
82,2026-07-31,002129 CH Equity,CNE1000000B8,28433701W,-0.010526315789473684,-0.01,-0.010638297872340425,-0.010309278350515464,,,-0.014285714285714285,,,,,,-0.013157894736842105,-0.011627906976744186,-0.011627906976744186,,,0.0045871559633027525,,,,,-0.02564102564102564,-0.017857142857142856,,,,-0.00980392156862745,-0.005669151375733279
83,2026-07-31,002131 CH Equity,CNE1000000F9,28434001W,,,,,,,,,,0.021739130434782608,-0.017241379310344827,,,,,,-0.06666666666666667,,0.01098901098901099,-0.017241379310344827,0.014084507042253521,-0.1,,,-0.1,,-0.01282051282051282,0.0024752475247524753,-0.007324008047086453
84,2026-07-31,002138 CH Equity,CNE1000000M5,28503801W,,,,,,-0.016666666666666666,-0.014285714285714285,0.015873015873015872,0.014925373134328358,,,,,,,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,,,,0.0064516129032258064,0.0024752475247524753,0.0015715566588007642
85,2026-07-31,002142 CH Equity,CNE1000005P7,28587701W,0.010101010101010102,,,,,0.008264462809917356,,,,,,-0.02564102564102564,,,,,,0.0045871559633027525,,,,,,,,,,0.0024752475247524753,0.0003777945984230494
86,2026-07-31,002152 CH Equity,CNE100000650,28574301W,-0.010526315789473684,,-0.010638297872340425,-0.010309278350515464,,,,,,,,,,0.011627906976744186,0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,0.017857142857142856,,,0.0064516129032258064,0.0024752475247524753,0.0022156356364334013
87,2026-07-31,002155 CH Equity,CNE1000006B5,28580201W,,,,,,,,-0.016129032258064516,-0.015151515151515152,,,,,,,,,,,,,,,,,,,0.0024752475247524753,-0.0014275908483984755
88,2026-07-31,002156 CH Equity,CNE1000006C3,28580401W,,,,,,0.008264462809917356,-0.014285714285714285,0.015873015873015872,0.014925373134328358,,,,,0.011627906976744186,,0.00423728813559322,,0.0045871559633027525,,,,,,,,,0.0064516129032258064,0.0024752475247524753,0.002078846797964043
89,2026-07-31,002157 CH Equity,CNE1000006H2,28583101W,,,,,,0.008264462809917356,,0.015873015873015872,,-0.02040816326530612,,,,,,0.00423728813559322,,0.0045871559633027525,,0.008771929824561403,,,0.01282051282051282,,,,-0.01282051282051282,,0.00036225140194816644
90,2026-07-31,002179 CH Equity,CNE1000007T5,28706701W,-0.010526315789473684,,,-0.010309278350515464,,-0.016666666666666666,,,,,,,,,,0.00423728813559322,,0.0045871559633027525,,,,,0.01282051282051282,,,-0.02040816326530612,,-0.00980392156862745,-0.0012745728834812524
91,2026-07-31,002180 CH Equity,CNE1000007W9,28706801W,,,,,,0.008264462809917356,,,,,,,,-0.011627906976744186,-0.011627906976744186,0.00423728813559322,,0.0045871559633027525,,,,,-0.02564102564102564,-0.017857142857142856,,,0.0064516129032258064,-0.00980392156862745,-0.002802994194218846
92,2026-07-31,002185 CH Equity,CNE100000825,28719601W,,-0.01,0.010869565217391304,,,0.008264462809917356,-0.014285714285714285,,0.014925373134328358,,,,,,,0.00423728813559322,,0.0045871559633027525,,,,,,,,0.017857142857142856,0.0064516129032258064,0.0024752475247524753,0.001539450771334998
93,2026-07-31,002195 CH Equity,CNE1000008K2,28750701W,,,,,,,0.014285714285714285,,,,,,-0.013157894736842105,,,-0.012658227848101266,,-0.013513513513513514,,,,,-0.02564102564102564,-0.017857142857142856,,-0.02040816326530612,-0.01282051282051282,0.0024752475247524753,-0.0038856053867568022
94,2026-07-31,002202 CH Equity,CNE1000008S5,28768401W,,,,,-0.014705882352941176,,-0.014285714285714285,,,-0.02040816326530612,0.01694915254237288,,,,,0.00423728813559322,,0.0045871559633027525,,,0.014084507042253521,,,,,-0.02040816326530612,,0.0024752475247524753,-0.002426716350323126
95,2026-07-31,002223 CH Equity,CNE1000009X3,28865501W,-0.010526315789473684,-0.01,-0.010638297872340425,-0.010309278350515464,,0.008264462809917356,0.014285714285714285,,,,,0.024390243902439025,,,,,,,0.01098901098901099,,,,,,,,0.0064516129032258064,0.0024752475247524753,0.0008514945496455396
