style,ddt,ticker,isin,gvkeyiid,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Analyst Expectations,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Capital Efficiency,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Earnings Quality,Historical Growth,Historical Growth,Historical Growth,Price Momentum,Price Momentum,Valuation,Volatility,MP
15,2026-08-31,000513 CH Equity,CNE0000002Y8,21070302W,-0.001633007368593529,0.0015656668585484349,-0.0018520693326731488,0.0017064009581932381,,,,,,,,0.0017867021797552728,,0.0014463779550399829,,0.0018520693326731488,0.0018520693326731488,,,,,,,,,,-0.003037393705583964,0.001054650592216654,0.0007481265284689566,0.0001431442786376042
16,2026-08-31,000538 CH Equity,CNE0000008X7,27143001W,,-0.001581975888324981,,-0.0017257918781727068,,,,,,,,0.0017867021797552728,,-0.002812401579244411,,,,,,,,,,,,,,0.001054650592216654,,-7.58964136035232e-05
17,2026-08-31,000559 CH Equity,CNE000000FB3,26022401W,0.001633007368593529,,0.0016688976404307496,,,,,,-0.00253116142131997,-0.0018983710659899776,,,-0.002812401579244411,,,0.0018520693326731488,0.0018520693326731488,0.003996570665242057,0.000744459241564697,0.0005148124924718582,,,,,,,,,0.0007481265284689566,0.0001234552928800802
18,2026-08-31,000564 CH Equity,CNE0000003W0,26023701W,,,,,,,-0.0023364566966030493,,,,,,,,-0.002109301184433308,,,,-0.0022010099315825826,-0.002024929137055976,,,,,,,,-0.002080406647660249,0.0007481265284689566,-0.00031816815512463365
19,2026-08-31,000568 CH Equity,CNE000000GF2,24376701W,-0.001633007368593529,,,,,,,,,,,,,-0.002812401579244411,-0.002109301184433308,,,-0.003996570665242057,-0.0022010099315825826,-0.002024929137055976,,-0.004602111675127218,,,-0.002761267005076331,,,,-0.001488918483129394,-0.00075875363528327
20,2026-08-31,000596 CH Equity,CNE000000MD5,24373702W,-0.001633007368593529,,,,,-0.0025740624623592913,,,,,,,,-0.002812401579244411,-0.002109301184433308,,,-0.003996570665242057,-0.0022010099315825826,-0.002024929137055976,,-0.004602111675127218,,,,,,,-0.001488918483129394,-0.0006532325679015382
21,2026-08-31,000617 CH Equity,CNE000000MS3,27233101W,,,,,,-0.0025740624623592913,,,,,,,-0.002812401579244411,,,,,,-0.0022010099315825826,0.0005148124924718582,,,,,,,,,,-0.00016788895545565789
22,2026-08-31,000625 CH Equity,CNE000000R36,24206101W,-0.001633007368593529,-0.001581975888324981,-0.0018520693326731488,-0.0017257918781727068,-0.0023364566966030493,,0.0023364566966030493,,,,,,,-0.002812401579244411,,,,0.003996570665242057,0.000744459241564697,0.0005148124924718582,0.011682283483015246,,,,,,-0.003037393705583964,-0.002080406647660249,0.0007481265284689566,-2.2481414052218358e-05
23,2026-08-31,000629 CH Equity,CNE0000007H2,25134401W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007481265284689566,2.9843626361390674e-05
24,2026-08-31,000630 CH Equity,CNE000000529,27103901W,,-0.001581975888324981,,-0.0017257918781727068,-0.0023364566966030493,,,,0.00253116142131997,0.0018749343861629406,-0.0033015148973738737,,,,,,,,,,,,,,,,,,0.0007481265284689566,-0.0002289620696832304
25,2026-08-31,000636 CH Equity,CNE000000GH8,25131501W,,,,,,,,,,,,,,,-0.002109301184433308,,,,-0.0022010099315825826,-0.002024929137055976,,,0.0010331271107428448,0.0029205708707538114,0.002711958665699968,,0.002664380443494705,0.001054650592216654,0.0007481265284689566,0.00041005710034729506
26,2026-08-31,000651 CH Equity,CNE0000001D4,25998001W,,,,,-0.0023364566966030493,,0.0023364566966030493,,,,,,,,-0.002109301184433308,,0.0018520693326731488,0.003996570665242057,,0.0005148124924718582,,,,0.0029205708707538114,,,,0.001054650592216654,-0.001488918483129394,0.00023715494559219528
27,2026-08-31,000657 CH Equity,CNE0000006M4,27223901W,,0.0015656668585484349,,,-0.0023364566966030493,,,,,,,,,,,0.0018520693326731488,0.0018520693326731488,,,,,,,,,,,,0.0007481265284689566,5.890643793634737e-06
28,2026-08-31,000661 CH Equity,CNE0000007J8,27213001W,-0.001633007368593529,,,,-0.0023364566966030493,,,,,,,-0.003531853146027865,,0.0014463779550399829,,-0.0018520693326731488,-0.0018520693326731488,-0.003996570665242057,,,,,,,,,,,,-0.00041806795033071765
29,2026-08-31,000688 CH Equity,CNE0000003F5,25996701W,,,,,,,,,,,0.0034515837563454136,,,,,-0.0018520693326731488,-0.0018520693326731488,,,,,,,,,,,,0.0007481265284689566,0.0001357479680644372
30,2026-08-31,000703 CH Equity,CNE0000001J1,27193201W,,0.0015656668585484349,0.0016688976404307496,0.0017064009581932381,,,,,,,0.0034515837563454136,,,,,,,,,,,,,,,,,,,0.0003516422716195058
31,2026-08-31,000708 CH Equity,CNE0000008J6,25997201W,0.001633007368593529,,,,,,,,0.00253116142131997,0.0018749343861629406,,,,,,,,,,,,,,,,,,,,0.00023789566057638833
32,2026-08-31,000725 CH Equity,CNE0000016L5,24205802W,-0.001633007368593529,-0.001581975888324981,-0.0018520693326731488,-0.0017257918781727068,,0.001309221424820674,-0.0023364566966030493,,,0.0018749343861629406,,,,,,,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,-0.003037393705583964,0.001054650592216654,,-0.0001280700573818583
33,2026-08-31,000728 CH Equity,CNE000000QZ9,27200801W,-0.001633007368593529,,,,,,,,,,,,-0.002812401579244411,0.0014463779550399829,,,,,,-0.002024929137055976,,0.0023364566966030493,,,,,,,0.0007481265284689566,-8.601091765506035e-06
34,2026-08-31,000729 CH Equity,CNE000000S84,25130601W,0.001633007368593529,0.0015656668585484349,0.0016688976404307496,,,0.001309221424820674,,-0.005423917331399936,,,,-0.003531853146027865,,,,,,-0.003996570665242057,,0.0005148124924718582,,0.0023364566966030493,,,0.002711958665699968,,,0.001054650592216654,,0.00016747104430440854
35,2026-08-31,000750 CH Equity,CNE0000008K4,27196601W,,,,,,,,,,,,,0.002812401579244411,0.0014463779550399829,0.002109301184433308,,,,,0.0005148124924718582,,,,,,,,,0.0007481265284689566,0.00014741076321719487
36,2026-08-31,000768 CH Equity,CNE000000RF9,27104601W,,,,,,,,,,,,0.0017867021797552728,-0.002812401579244411,-0.002812401579244411,,0.0018520693326731488,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,-0.003037393705583964,-0.002080406647660249,,-4.240721683134619e-05
37,2026-08-31,000776 CH Equity,CNE0000008L2,27199901W,0.001633007368593529,-0.001581975888324981,,-0.0017257918781727068,,,,,,,,,0.002812401579244411,-0.002812401579244411,,,,,,0.0005148124924718582,,,,,,,,,0.0007481265284689566,-2.2759623730781986e-05
38,2026-08-31,000783 CH Equity,CNE000000SH3,25137601W,0.001633007368593529,0.0015656668585484349,,0.0017064009581932381,,,,,,,,,0.002812401579244411,,0.002109301184433308,,,0.003996570665242057,,0.0005148124924718582,,,,,,,,,0.0007481265284689566,0.0003828387374620834
39,2026-08-31,000786 CH Equity,CNE000000QS4,25983101W,-0.001633007368593529,,-0.0018520693326731488,-0.0017257918781727068,,,0.0023364566966030493,,,-0.0018983710659899776,,0.0017867021797552728,,,,,,,,0.0005148124924718582,,0.0023364566966030493,,,,,,0.001054650592216654,,1.1601830305512074e-05
40,2026-08-31,000792 CH Equity,CNE000000SW2,26009701W,-0.001633007368593529,,,0.0017064009581932381,,,,,,,,,,,,-0.0018520693326731488,-0.0018520693326731488,,,,,,,,,,,,0.0007481265284689566,-4.4963736681744256e-05
41,2026-08-31,000807 CH Equity,CNE000000VG9,26026901W,,,,,0.002301055837563609,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,,,,,,,,,,,,,0.0007481265284689566,-5.093632758335457e-06
42,2026-08-31,000830 CH Equity,CNE000000WN3,27202401W,,,,,,,,,,,0.0034515837563454136,,,,,,,,,,,,,,,,,,-0.001488918483129394,0.00013042564259956838
43,2026-08-31,000831 CH Equity,CNE000000WS2,26016801W,,,,,,,,,,,,,,,,-0.0018520693326731488,,,,,,,,,,,,,0.0007481265284689566,-1.0033150973661553e-05
44,2026-08-31,000858 CH Equity,CNE000000VQ8,24368301W,-0.001633007368593529,-0.001581975888324981,-0.0018520693326731488,,-0.0023364566966030493,-0.0025740624623592913,,0.010847834662799871,,,,,,0.0014463779550399829,-0.002109301184433308,,,,-0.0022010099315825826,-0.002024929137055976,,,,,,,,,,-0.00010643260982097926
45,2026-08-31,000876 CH Equity,CNE000000VB0,25955001W,-0.001633007368593529,-0.001581975888324981,-0.0018520693326731488,,-0.0023364566966030493,0.001309221424820674,,,,,0.0034515837563454136,0.0017867021797552728,,0.0014463779550399829,,,,0.003996570665242057,0.000744459241564697,0.0005148124924718582,,,,,,,,0.001054650592216654,0.0007481265284689566,0.0001849155666486727
46,2026-08-31,000878 CH Equity,CNE000000W13,26027101W,,,,,,,,,,,-0.0033015148973738737,,,,,0.0018520693326731488,,,,,,,,,,,,,0.0007481265284689566,-0.00011184685006459813
47,2026-08-31,000893 CH Equity,CNE000000XS0,27206301W,,,-0.0018520693326731488,,,,,,0.00253116142131997,0.0018749343861629406,,,,,,-0.0018520693326731488,,,,,,,,,,,,,,8.890451572207318e-05
48,2026-08-31,000895 CH Equity,CNE000000XM3,26000401W,,,-0.0018520693326731488,,-0.0023364566966030493,0.001309221424820674,,0.010847834662799871,0.00253116142131997,0.0018749343861629406,,0.0017867021797552728,,,0.002109301184433308,,,0.003996570665242057,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,,,,0.0007191843879499422
49,2026-08-31,000932 CH Equity,CNE000001006,25133201W,0.001633007368593529,-0.001581975888324981,,-0.0017257918781727068,,,,,,,0.0034515837563454136,,,,,,,,,,,,,,,,,,-0.001488918483129394,7.059095361733397e-05
50,2026-08-31,000933 CH Equity,CNE000001097,26000301W,-0.001633007368593529,,,,,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,-0.0018520693326731488,,,,,,,,,,,,,-0.0002829506385031054
51,2026-08-31,000938 CH Equity,CNE0000010T1,26022301W,,,-0.0018520693326731488,,,0.001309221424820674,-0.0023364566966030493,,,,,,,,0.002109301184433308,,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,,,5.0316543985678555e-05
52,2026-08-31,000960 CH Equity,CNE0000011D3,27024101W,0.001633007368593529,0.0015656668585484349,,0.0017064009581932381,,,,,0.00253116142131997,0.0018749343861629406,,,,,,,,,,,,,,,,,,,0.0007481265284689566,0.0003753382690210754
53,2026-08-31,000963 CH Equity,CNE0000011S1,26000801W,,,,-0.0017257918781727068,0.002301055837563609,,,,,,,0.0017867021797552728,0.002812401579244411,,,0.0018520693326731488,0.0018520693326731488,,,,,,,,,,-0.003037393705583964,0.001054650592216654,,0.00022701017900308713
54,2026-08-31,000975 CH Equity,CNE0000012L4,27115501W,,,,,,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,,,,,,,,,,,,,,-0.00018997136060747827
55,2026-08-31,000977 CH Equity,CNE0000012M2,27213901W,,0.0015656668585484349,0.0016688976404307496,0.0017064009581932381,,0.001309221424820674,,,0.00253116142131997,,,,,,0.002109301184433308,0.0018520693326731488,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,-0.002080406647660249,,0.0004004313044730304
56,2026-08-31,000981 CH Equity,CNE000001352,27215701W,,,,,,,,,,,,,-0.002812401579244411,-0.002812401579244411,-0.002109301184433308,-0.0018520693326731488,-0.0018520693326731488,0.003996570665242057,,-0.002024929137055976,0.011682283483015246,,,-0.002977836966258788,,,,-0.002080406647660249,0.0007481265284689566,-0.00010986829013423182
57,2026-08-31,000983 CH Equity,CNE0000013Y5,25137101W,,,0.0016688976404307496,,,,,,,,,,,,,-0.0018520693326731488,-0.0018520693326731488,,,,,,-0.0041045860886269785,,-0.002761267005076331,,,,,-0.0003697372326958648
58,2026-08-31,000988 CH Equity,CNE000001303,25900801W,,,,,,-0.0025740624623592913,,,,,,,,,,0.0018520693326731488,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,,,7.12983330190408e-05
59,2026-08-31,000999 CH Equity,CNE0000011K8,25135901W,,,-0.0018520693326731488,-0.0017257918781727068,0.002301055837563609,,,,,,,0.0017867021797552728,0.002812401579244411,0.0014463779550399829,,0.0018520693326731488,0.0018520693326731488,,,,,,,,,,,0.001054650592216654,0.0007481265284689566,0.0002925395482984499
60,2026-08-31,001203 CH Equity,CNE100004JY8,34746201W,,,,,,,,,,,-0.0033015148973738737,,,,,,-0.0018520693326731488,,,,,,,,,,,,0.0007481265284689566,-0.00019576281911173085
61,2026-08-31,001309 CH Equity,CNE100005GP9,35376601W,,,,,,0.001309221424820674,,,,,,,,,0.002109301184433308,-0.0018520693326731488,-0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,0.0029205708707538114,0.002711958665699968,,-0.003037393705583964,-0.002080406647660249,,0.0002684921191422683
62,2026-08-31,001389 CH Equity,CNE100006HM2,36087201W,0.001633007368593529,0.0015656668585484349,0.0016688976404307496,0.0017064009581932381,,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,0.0029205708707538114,0.002711958665699968,,,,,0.0005136689760523185
63,2026-08-31,001965 CH Equity,CNE1000032B1,32631201W,,,,,-0.0023364566966030493,,,,,,0.0034515837563454136,,,,-0.002109301184433308,,0.0018520693326731488,,-0.0022010099315825826,-0.002024929137055976,,0.0023364566966030493,,-0.002977836966258788,-0.002761267005076331,,,,-0.001488918483129394,-0.0004395189676196198
64,2026-08-31,002001 CH Equity,CNE000001J84,27070401W,,,,,,,,,-0.00253116142131997,-0.0018983710659899776,-0.0033015148973738737,,,,,,,,,,,,,,,,,,-0.001488918483129394,-0.00043093328251913015
65,2026-08-31,002007 CH Equity,CNE000001JN8,27076001W,,0.0015656668585484349,,0.0017064009581932381,0.002301055837563609,-0.0025740624623592913,0.0023364566966030493,,,,,0.0017867021797552728,,-0.002812401579244411,,,,0.003996570665242057,,,,,,,,,-0.003037393705583964,,,0.00027562870042251554
66,2026-08-31,002008 CH Equity,CNE000001JQ1,27069601W,0.001633007368593529,0.0015656668585484349,0.0016688976404307496,0.0017064009581932381,0.002301055837563609,,,,,,,0.0017867021797552728,0.002812401579244411,,,,,,,0.0005148124924718582,,,,0.0029205708707538114,0.002711958665699968,,,,0.0007481265284689566,0.0008513568962389113
67,2026-08-31,002027 CH Equity,CNE000001KK2,27088901W,,,,,,,,,,,,,-0.002812401579244411,,,,,,,,,,0.0010331271107428448,,,0.008437204737733232,,0.001054650592216654,-0.001488918483129394,0.00014670770009703052
68,2026-08-31,002028 CH Equity,CNE000001KM8,27088301W,,-0.001581975888324981,-0.0018520693326731488,-0.0017257918781727068,,,0.0023364566966030493,,,-0.0018983710659899776,,0.0017867021797552728,,,0.002109301184433308,,,,0.000744459241564697,0.0005148124924718582,,,,,,,0.002664380443494705,,,-1.644860890646631e-06
69,2026-08-31,002049 CH Equity,CNE000001M14,27334601W,,-0.001581975888324981,,-0.0017257918781727068,,-0.0025740624623592913,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,,,-0.0022010099315825826,-0.002024929137055976,,,-0.0041045860886269785,-0.002977836966258788,-0.002761267005076331,,-0.003037393705583964,,,-0.0011024460310873373
70,2026-08-31,002050 CH Equity,CNE000001M22,27311401W,,,,,0.002301055837563609,,0.0023364566966030493,,,-0.0018983710659899776,-0.0033015148973738737,,,,,,,,,0.0005148124924718582,,0.0023364566966030493,,,,,,,0.0007481265284689566,0.00010357692003465564
71,2026-08-31,002056 CH Equity,CNE000001N70,27823101W,,,,,,0.001309221424820674,,,,,,,,,0.002109301184433308,,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,0.0029205708707538114,0.002711958665699968,,,0.001054650592216654,-0.001488918483129394,0.0005268371590947189
72,2026-08-31,002064 CH Equity,CNE000001NK6,27844801W,,,,,,,,,,,0.0034515837563454136,,,,,-0.0018520693326731488,-0.0018520693326731488,,,,,,,,,,,,0.0007481265284689566,0.00013574796806443723
73,2026-08-31,002074 CH Equity,CNE000001NY7,27918201W,-0.001633007368593529,-0.001581975888324981,-0.0018520693326731488,-0.0017257918781727068,,,-0.0023364566966030493,,,,-0.0033015148973738737,-0.003531853146027865,,0.0014463779550399829,-0.002109301184433308,,,,0.000744459241564697,0.0005148124924718582,,-0.004602111675127218,,,,,0.002664380443494705,,0.0007481265284689566,-0.0005853400711040788
74,2026-08-31,002078 CH Equity,CNE000001P52,27939301W,,,,,,,,,,,,,,,,0.0018520693326731488,0.0018520693326731488,,,,,,,,,,,,-0.001488918483129394,2.452130089652185e-05
75,2026-08-31,002080 CH Equity,CNE000001P78,27944101W,,,0.0016688976404307496,,0.002301055837563609,,,,,,,,,,,,,,,,,,,,,,,,0.0007481265284689566,0.00023910070663517289
76,2026-08-31,002128 CH Equity,CNE100000098,28433601W,0.001633007368593529,0.0015656668585484349,,0.0017064009581932381,,,,-0.005423917331399936,,,,,,,,,,,,,,,0.0010331271107428448,,0.002711958665699968,,0.002664380443494705,,0.0007481265284689566,0.0002620452757681934
77,2026-08-31,002129 CH Equity,CNE1000000B8,28433701W,0.001633007368593529,-0.001581975888324981,-0.0018520693326731488,-0.0017257918781727068,,,-0.0023364566966030493,,,,,,,,-0.002109301184433308,-0.0018520693326731488,-0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,-0.0041045860886269785,-0.002977836966258788,-0.002761267005076331,,,,-0.001488918483129394,-0.0008931214953611996
78,2026-08-31,002131 CH Equity,CNE1000000F9,28434001W,,,,,,,,,,,0.0034515837563454136,0.0017867021797552728,-0.002812401579244411,-0.002812401579244411,,,,,,,-0.011682283483015246,0.0023364566966030493,-0.0041045860886269785,,,-0.016874409475466465,,-0.002080406647660249,0.0007481265284689566,-0.0006501441605193766
79,2026-08-31,002138 CH Equity,CNE1000000M5,28503801W,,,,-0.0017257918781727068,,-0.0025740624623592913,-0.0023364566966030493,,0.00253116142131997,0.0018749343861629406,,,,,,,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,0.001054650592216654,,8.415291188823024e-05
80,2026-08-31,002142 CH Equity,CNE1000005P7,28587701W,,,,,0.002301055837563609,0.001309221424820674,,,,,,,,,,,,-0.003996570665242057,0.000744459241564697,0.0005148124924718582,,,,,,,,,,0.00012854687159298144
81,2026-08-31,002152 CH Equity,CNE100000650,28574301W,,,,,,,,,,,,,,,,0.0018520693326731488,0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,0.0029205708707538114,0.002711958665699968,,,0.001054650592216654,,0.0005871736123278731
82,2026-08-31,002155 CH Equity,CNE1000006B5,28580201W,,,,,,,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,,,,,,,,,,,,,,-0.00018997136060747827
83,2026-08-31,002156 CH Equity,CNE1000006C3,28580401W,,0.0015656668585484349,,,,0.001309221424820674,-0.0023364566966030493,,0.00253116142131997,0.0018749343861629406,,,,,,0.0018520693326731488,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,,0.001054650592216654,0.0007481265284689566,0.00038884147806720053
84,2026-08-31,002157 CH Equity,CNE1000006H2,28583101W,,,,,,0.001309221424820674,,-0.005423917331399936,0.00253116142131997,,-0.0033015148973738737,,,0.0014463779550399829,,,,,0.000744459241564697,0.0005148124924718582,,,,,0.002711958665699968,,,-0.002080406647660249,0.0007481265284689566,-7.680975015084842e-05
85,2026-08-31,002179 CH Equity,CNE1000007T5,28706701W,,0.0015656668585484349,,0.0017064009581932381,,-0.0025740624623592913,,,-0.00253116142131997,-0.0018983710659899776,,,,,,,,,,0.0005148124924718582,,,0.0010331271107428448,,,,-0.003037393705583964,,-0.001488918483129394,-0.0002460853809212191
86,2026-08-31,002180 CH Equity,CNE1000007W9,28706801W,,,,,,0.001309221424820674,,,,,,,,,,-0.0018520693326731488,-0.0018520693326731488,,0.000744459241564697,0.0005148124924718582,,,-0.0041045860886269785,-0.002977836966258788,-0.002761267005076331,,,0.001054650592216654,-0.001488918483129394,-0.0005478245602472938
87,2026-08-31,002185 CH Equity,CNE100000825,28719601W,,,0.0016688976404307496,,,0.001309221424820674,,,,0.0018749343861629406,,,,,,,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,0.002664380443494705,0.001054650592216654,,0.00036720598986169945
88,2026-08-31,002195 CH Equity,CNE1000008K2,28750701W,,,,,,,0.0023364566966030493,,,,,,,,-0.002109301184433308,,,,-0.0022010099315825826,-0.002024929137055976,,,-0.0041045860886269785,-0.002977836966258788,-0.002761267005076331,,-0.003037393705583964,-0.002080406647660249,0.0007481265284689566,-0.0007495718530221074
89,2026-08-31,002202 CH Equity,CNE1000008S5,28768401W,,-0.001581975888324981,,-0.0017257918781727068,,,-0.0023364566966030493,,,-0.0018983710659899776,-0.0033015148973738737,,0.002812401579244411,,,,,,0.000744459241564697,0.0005148124924718582,,0.0023364566966030493,,,,,-0.003037393705583964,,,-0.0003786140210127949
90,2026-08-31,002223 CH Equity,CNE1000009X3,28865501W,-0.001633007368593529,,,,,0.001309221424820674,0.0023364566966030493,,,,,0.0017867021797552728,,,,,,0.003996570665242057,,,,,,,,,,0.001054650592216654,0.0007481265284689566,0.00029336598726785224
91,2026-08-31,002230 CH Equity,CNE100000B81,28871001W,,,,,,-0.0025740624623592913,,,,,,,,,,,,,0.000744459241564697,0.0005148124924718582,,,0.0010331271107428448,,,,0.002664380443494705,0.001054650592216654,0.0007481265284689566,0.00013485420409630594
